Entity,Code,Year,Cereals | 00001717 || Yield | 005419 || tonnes per hectare,Cereals | 00001717 || Area harvested | 005312 || hectares
Africa,,1961,0.8067794,55316086
Africa,,1970,0.9161428,63672346
Africa,,1980,1.1668485,59910831
Africa,,1990,1.2165843,75380056
Africa,,2000,1.3257581,81376728
Africa,,2010,1.5944204,103293789
Africa,,2021,1.750072,123432981
Asia,,1961,1.2122993,271754482
Asia,,1970,1.6414998,292949602
Asia,,1980,2.0733972,304761197
Asia,,1990,2.8113072,310540901
Asia,,2000,3.1120582,320123977
Asia,,2010,3.6448855,334320749
Asia,,2021,4.308766,342406450
