Entity,Code,Year,Electricity from hydro - TWh
Botswana,BWA,2000,0.0
Botswana,BWA,2010,0.0
China,CHN,1965,22.097
China,CHN,1970,24.037117
China,CHN,1980,58.221176
China,CHN,1990,126.74397
China,CHN,2000,222.41
China,CHN,2010,711.38
China,CHN,2022,1303.13
France,FRA,1965,46.881092
France,FRA,1970,56.681484
France,FRA,1980,69.52675
France,FRA,1990,53.87
France,FRA,2000,64.78
France,FRA,2010,61.2
France,FRA,2022,46.29
India,IND,1965,19.166937
India,IND,1970,30.436407
India,IND,1980,55.441372
India,IND,1990,66.397064
India,IND,2000,76.99
India,IND,2010,108.74
India,IND,2022,174.92
Sweden,SWE,1965,46.423
Sweden,SWE,1970,41.489
Sweden,SWE,1980,58.868
Sweden,SWE,1990,72.5
Sweden,SWE,2000,78.58
Sweden,SWE,2010,66.4
Sweden,SWE,2022,69.38
United States,USA,1965,198.97409
United States,USA,1970,253.49237
United States,USA,1980,282.0021
United States,USA,1990,292.2809
United States,USA,2000,270.03
United States,USA,2010,254.7
United States,USA,2022,248.76
