Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0
Africa,,1950,37.6235
Africa,,2000,53.3498
Africa,,2021,61.6609
Africa,,1770,26.4
Americas,,1770,34.8
Americas,,1850,35.1
Americas,,1900,41.0
Americas,,1950,58.116535
Americas,,2000,73.349495
Americas,,2021,74.189156
Asia,,1950,42.024
Asia,,2000,67.6292
Asia,,2021,72.5321
Asia,,1770,27.5
Asia,,1900,28.0
Europe,,1950,62.8339
Europe,,2000,73.5229
Europe,,2021,77.0336
Europe,,1770,34.3
Europe,,1800,33.3
Europe,,1850,36.3
Europe,,1900,42.7
Oceania,,1950,61.3765
Oceania,,2000,75.3603
Oceania,,2021,79.4444
Oceania,,1900,47.6
World,OWID_WRL,1950,46.4643
World,OWID_WRL,2000,66.4525
World,OWID_WRL,2021,71.0479
World,OWID_WRL,1770,28.5
World,OWID_WRL,1800,28.5
World,OWID_WRL,1850,29.3
World,OWID_WRL,1900,32.0
