Entity,Code,Year,Milk - Excluding Butter | 00002848 || Food available for consumption | 0645pc || kilograms per year per capita
Albania,ALB,1961,91.96559
Albania,ALB,1970,91.49531
Albania,ALB,1980,120.72808
Albania,ALB,1990,157.99359
Albania,ALB,2000,255.72507
Albania,ALB,2010,289.23447
Albania,ALB,2020,299.03784
Low Income Food Deficit Countries (FAO),,1961,37.46
Low Income Food Deficit Countries (FAO),,1970,34.25
Low Income Food Deficit Countries (FAO),,1980,38.43
Low Income Food Deficit Countries (FAO),,1990,47.45
Low Income Food Deficit Countries (FAO),,2000,56.64
Low Income Food Deficit Countries (FAO),,2010,39.91
Low Income Food Deficit Countries (FAO),,2020,51.46
Romania,ROU,1961,108.280815
Romania,ROU,1970,116.51602
Romania,ROU,1980,169.92441
Romania,ROU,1990,148.15623
Romania,ROU,2000,201.17647
Romania,ROU,2010,244.63423
Romania,ROU,2020,211.03827
