Entity,Code,Year,"Adjusted net savings per capita, excluding particulate emission damage (current US$)"
Brazil,BRA,1980,166.69
Brazil,BRA,1990,276.06
Brazil,BRA,2000,198.57
Brazil,BRA,2010,1111.07
Brazil,BRA,2020,475.24
Congo,COG,1980,3.82
Congo,COG,1990,-221.66
Congo,COG,2000,-277.96
Congo,COG,2010,-2.59
France,FRA,1980,1576.54
France,FRA,1990,2547.52
France,FRA,2000,2897.42
France,FRA,2010,3320.13
France,FRA,2020,2300.82
Germany,DEU,1990,2617.08
Germany,DEU,2000,2126.46
Germany,DEU,2010,4885.83
Germany,DEU,2020,5683.47
Mexico,MEX,1980,434.15
Mexico,MEX,1990,248.1
Mexico,MEX,2000,658.23
Mexico,MEX,2010,732.0
Mexico,MEX,2020,454.93
Portugal,PRT,1980,469.84
Portugal,PRT,1990,1256.04
Portugal,PRT,2000,761.7
Portugal,PRT,2010,-418.84
Portugal,PRT,2020,343.61
United Kingdom,GBR,1970,352.97
United Kingdom,GBR,1980,576.85
United Kingdom,GBR,1990,551.46
United Kingdom,GBR,2000,1503.65
United Kingdom,GBR,2010,963.84
