Entity,Code,Year,wom_emp_vdem_owid,wom_emp_vdem_high_owid,wom_emp_vdem_low_owid
Algeria,DZA,1900,0.084,0.12,0.041
Algeria,DZA,1950,0.097,0.138,0.052
Algeria,DZA,2000,0.566,0.626,0.49
Algeria,DZA,2022,0.621,0.7,0.542
Burundi,BDI,1950,0.212,0.251,0.156
Burundi,BDI,2000,0.592,0.679,0.53
Burundi,BDI,2022,0.657,0.737,0.58
Central African Republic,CAF,1950,0.099,0.13,0.057
Central African Republic,CAF,2000,0.582,0.655,0.503
Central African Republic,CAF,2022,0.626,0.698,0.549
Myanmar,MMR,1789,0.267,0.323,0.197
Myanmar,MMR,1850,0.267,0.323,0.197
Myanmar,MMR,1900,0.305,0.36,0.229
Myanmar,MMR,1950,0.392,0.479,0.319
Myanmar,MMR,2000,0.298,0.363,0.235
Myanmar,MMR,2022,0.438,0.501,0.367
