Entity,Code,Year,Gini coefficient of lifespan inequality - Sex: male
Gabon,GAB,1950,0.4647876
Gabon,GAB,1960,0.3885698
Gabon,GAB,1970,0.32436198
Gabon,GAB,1980,0.27330506
Gabon,GAB,1990,0.24054874
Gabon,GAB,2000,0.23100422
Gabon,GAB,2010,0.2061305
Gabon,GAB,2021,0.17420197
Guinea,GIN,1950,0.5080208
Guinea,GIN,1960,0.49796817
Guinea,GIN,1970,0.4725312
Guinea,GIN,1980,0.43380967
Guinea,GIN,1990,0.38295892
Guinea,GIN,2000,0.32049274
Guinea,GIN,2010,0.27987966
Guinea,GIN,2021,0.24454051
Israel,ISR,1950,0.15239477
Israel,ISR,1960,0.14231287
Israel,ISR,1970,0.1382086
Israel,ISR,1980,0.12489038
Israel,ISR,1990,0.11097493
Israel,ISR,2000,0.10230377
Israel,ISR,2010,0.09345609
Israel,ISR,2021,0.09201387
Montenegro,MNE,1950,0.23999171
Montenegro,MNE,1960,0.20237212
Montenegro,MNE,1970,0.17225729
Montenegro,MNE,1980,0.15134789
Montenegro,MNE,1990,0.13246626
Montenegro,MNE,2000,0.12149351
Montenegro,MNE,2010,0.105869256
Montenegro,MNE,2021,0.094106615
Oman,OMN,1950,0.5973588
Oman,OMN,1960,0.5268089
Oman,OMN,1970,0.38124248
Oman,OMN,1980,0.24100365
Oman,OMN,1990,0.14917241
Oman,OMN,2000,0.12096227
Oman,OMN,2010,0.10471403
Oman,OMN,2021,0.10318128
Slovenia,SVN,1950,0.253503
Slovenia,SVN,1960,0.2007072
Slovenia,SVN,1970,0.17397791
Slovenia,SVN,1980,0.15310693
Slovenia,SVN,1990,0.13079652
Slovenia,SVN,2000,0.1130947
Slovenia,SVN,2010,0.09665181
Slovenia,SVN,2021,0.09220859
Tajikistan,TJK,1950,0.3547565
Tajikistan,TJK,1960,0.32551125
Tajikistan,TJK,1970,0.29330906
Tajikistan,TJK,1980,0.25947076
Tajikistan,TJK,1990,0.23189813
Tajikistan,TJK,2000,0.21192406
Tajikistan,TJK,2010,0.16350946
Tajikistan,TJK,2021,0.13681798
Uzbekistan,UZB,1950,0.3111059
Uzbekistan,UZB,1960,0.2839513
Uzbekistan,UZB,1970,0.25218534
Uzbekistan,UZB,1980,0.2292462
Uzbekistan,UZB,1990,0.19998406
Uzbekistan,UZB,2000,0.18660516
Uzbekistan,UZB,2010,0.14595759
Uzbekistan,UZB,2021,0.1187318
