Entity,Code,Year,accessjust_w_row_owid,accessjust_w_high_row_owid,accessjust_w_low_row_owid
Argentina,ARG,1789,0,0,0
Argentina,ARG,1850,0,0,0
Argentina,ARG,1900,0,0,0
Argentina,ARG,1950,0,0,0
Argentina,ARG,2000,0,0,0
Argentina,ARG,2018,0,0,0
Argentina,ARG,2022,0,0,0
Australia,AUS,1789,0,0,0
Australia,AUS,1850,0,0,0
Australia,AUS,1900,1,1,0
Australia,AUS,1950,1,1,1
Australia,AUS,2000,1,1,1
Australia,AUS,2018,1,1,1
Australia,AUS,2022,1,1,1
Botswana,BWA,1900,0,0,0
Botswana,BWA,1950,0,0,0
Botswana,BWA,2000,1,1,0
Botswana,BWA,2018,1,1,0
Botswana,BWA,2022,0,0,0
China,CHN,1789,0,0,0
China,CHN,1850,0,0,0
China,CHN,1900,0,0,0
China,CHN,1950,0,0,0
China,CHN,2000,0,0,0
China,CHN,2018,0,0,0
China,CHN,2022,0,0,0
