Entity,Code,Year,Depressive disorders (share of population) - Sex: Male - Age: Age-standardized,Depressive disorders (share of population) - Sex: Female - Age: Age-standardized,Population (historical estimates),Continent
Afghanistan,AFG,2019,4.1991744,5.71278,37769496.0,
Africa,,2019,,,1327701380.0,
Albania,ALB,2019,1.6439227,3.2651968,2873883.0,
Algeria,DZA,2019,3.2344375,5.04365,42705372.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,3.4837272,5.7075524,165516224.0,
Brunei,BRN,2019,1.2416722,1.9854289,438058.0,
Central African Republic,CAF,2019,5.1583023,6.6309376,5209329.0,
China,CHN,2019,2.0651593,3.3909276,1421864064.0,
Colombia,COL,2019,2.081156,2.3545706,50187404.0,
Croatia,HRV,2019,2.197672,3.7739904,4129749.0,
Cuba,CUB,2019,2.9732003,4.6254773,11316699.0,
Democratic Republic of Congo,COD,2019,4.665119,6.2069917,89906896.0,
Ethiopia,ETH,2019,4.1595597,5.1417727,114120592.0,
Europe,,2019,,,747418251.0,
Gabon,GAB,2019,4.9508104,6.0954895,2242788.0,
Gambia,GMB,2019,3.1494682,7.7376533,2508882.0,
Guam,GUM,2019,2.9189506,3.4799209,168632.0,
India,IND,2019,3.093095,4.239835,1383112064.0,
Indonesia,IDN,2019,1.9714211,2.8634307,269582880.0,
Japan,JPN,2019,1.7337853,2.4715574,125791680.0,
Laos,LAO,2019,2.6414404,2.8512256,7212058.0,
Lesotho,LSO,2019,4.254351,6.615644,2225710.0,
Liberia,LBR,2019,2.8251145,6.3400745,4985290.0,
Low-income countries,,2019,3.8621404,5.414589,661633048.0,
North America,,2019,,,590497015.0,
North Korea,PRK,2019,1.9231826,3.3917012,25755442.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,3.0032065,4.9221168,223293280.0,
Palestine,PSE,2019,5.8084164,6.601207,4909775.0,
Russia,RUS,2019,2.670185,3.4485874,145742288.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,3.823861,5.0362315,43232092.0,
Sweden,SWE,2019,2.801738,5.479459,10267922.0,
Thailand,THA,2019,2.4125621,3.2551854,71307768.0,
Uganda,UGA,2019,5.5961843,7.447541,42949076.0,
United Kingdom,GBR,2019,3.4711566,4.7233353,66778660.0,
United States,USA,2019,3.177565,5.5710673,334319680.0,
Upper-middle-income countries,,2019,2.3745985,3.867409,2530546049.0,
World,OWID_WRL,2019,2.7132719,4.158382,7764951040.0,
