Entity,Code,Year,"Number of new cases of peripheral artery disease per 100 people, in both sexes aged age-standardized"
Kiribati,KIR,1990,0.1508385
Kiribati,KIR,1995,0.1574081
Kiribati,KIR,2000,0.16490129
Kiribati,KIR,2005,0.17641167
Kiribati,KIR,2010,0.18796319
Kiribati,KIR,2015,0.19224954
Kiribati,KIR,2019,0.19239004
Mozambique,MOZ,1990,0.10637104
Mozambique,MOZ,1995,0.10677672
Mozambique,MOZ,2000,0.10745889
Mozambique,MOZ,2005,0.108589314
Mozambique,MOZ,2010,0.1107914
Mozambique,MOZ,2015,0.1108818
Mozambique,MOZ,2019,0.1106951
Papua New Guinea,PNG,1990,0.122020185
Papua New Guinea,PNG,1995,0.12501884
Papua New Guinea,PNG,2000,0.1293721
Papua New Guinea,PNG,2005,0.13305508
Papua New Guinea,PNG,2010,0.13311666
Papua New Guinea,PNG,2015,0.13319942
Papua New Guinea,PNG,2019,0.13271081
Qatar,QAT,1990,0.11122858
Qatar,QAT,1995,0.11341981
Qatar,QAT,2000,0.11063954
Qatar,QAT,2005,0.10778524
Qatar,QAT,2010,0.10420629
Qatar,QAT,2015,0.10001587
Qatar,QAT,2019,0.097618386
Seychelles,SYC,1990,0.12778877
Seychelles,SYC,1995,0.1308722
Seychelles,SYC,2000,0.13409013
Seychelles,SYC,2005,0.13708948
Seychelles,SYC,2010,0.13615684
Seychelles,SYC,2015,0.13512202
Seychelles,SYC,2019,0.13361031
