Entity,Code,Year,"Deaths that are from non-communicable diseases per 100,000 people, in both sexes aged age-standardized","Deaths that are from communicable, maternal, neonatal, and nutritional diseases per 100,000 people, in both sexes aged age-standardized",Population,Continent
Afghanistan,AFG,2019,1027.2194,188.73471,37769496.0,
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,631.2877,54.162945,42705372.0,
Antigua and Barbuda,ATG,2019,583.13635,61.897648,92127.0,
Argentina,ARG,2019,513.55695,89.160515,44745516.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,345.74014,14.426901,25357168.0,
Austria,AUT,2019,380.67096,10.446811,8879939.0,
Azerbaijan,AZE,2019,994.94763,75.38368,10232761.0,
Belarus,BLR,2019,699.882,19.25076,9673971.0,
Bhutan,BTN,2019,620.30237,141.49257,767467.0,
Bolivia,BOL,2019,668.1278,164.89513,11777318.0,
Botswana,BWA,2019,793.75714,515.65045,2499705.0,
Brazil,BRA,2019,474.5517,84.90375,211782880.0,
Bulgaria,BGR,2019,831.03656,25.971268,7052536.0,
Cambodia,KHM,2019,706.88354,239.34796,16207746.0,
Canada,CAN,2019,356.64474,21.211159,37522584.0,
Central African Republic,CAF,2019,873.67413,1069.9141,5209329.0,
China,CHN,2019,562.24817,27.877565,1421864064.0,
Colombia,COL,2019,356.9139,42.09874,50187404.0,
Croatia,HRV,2019,540.01874,12.021509,4129749.0,
Cuba,CUB,2019,457.97543,45.624096,11316699.0,
Cyprus,CYP,2019,465.96896,18.18861,1228840.0,
Democratic Republic of Congo,COD,2019,681.4721,447.88293,89906896.0,
Egypt,EGY,2019,913.16956,57.708847,105618672.0,
Estonia,EST,2019,528.3907,15.8828945,1327039.0,
Ethiopia,ETH,2019,553.39844,368.56433,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,328.154,20.50611,64399760.0,
Germany,DEU,2019,418.62332,17.727036,83148144.0,
Greece,GRC,2019,423.97925,24.0291,10574026.0,
Guyana,GUY,2019,870.51935,140.79144,798761.0,
Haiti,HTI,2019,902.49994,266.21603,11160441.0,
Hungary,HUN,2019,615.2165,13.239266,9771799.0,
Iceland,ISL,2019,306.06662,19.055119,360787.0,
India,IND,2019,604.4205,223.40297,1383112064.0,
Indonesia,IDN,2019,745.60266,166.92165,269582880.0,
Iran,IRN,2019,508.93298,35.673424,86564208.0,
Italy,ITA,2019,352.54874,12.357373,59727936.0,
Japan,JPN,2019,268.39304,26.419783,125791680.0,
Lesotho,LSO,2019,978.944,1092.5729,2225710.0,
Lithuania,LTU,2019,581.02155,19.860647,2849083.0,
Marshall Islands,MHL,2019,1096.4446,154.36176,44750.0,
Mexico,MEX,2019,540.74036,54.51578,125085312.0,
Micronesia (country),FSM,2019,1203.9907,180.93985,111392.0,
Mongolia,MNG,2019,1066.0547,53.80338,3232435.0,
Morocco,MAR,2019,722.25525,72.37935,36304408.0,
Nauru,NRU,2019,1273.7085,140.16307,12156.0,
Netherlands,NLD,2019,392.70773,23.60081,17363260.0,
Niger,NER,2019,612.7922,573.52,23443400.0,
Nigeria,NGA,2019,567.0922,521.6192,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,814.47644,286.60226,223293280.0,
Panama,PAN,2019,367.79034,57.47474,4232538.0,
Peru,PER,2019,331.4492,94.179,32824864.0,
Poland,POL,2019,520.6413,22.626734,38493600.0,
Qatar,QAT,2019,781.9925,36.172672,2807242.0,
Romania,ROU,2019,644.91724,32.84972,19524212.0,
Russia,RUS,2019,691.3378,39.25888,145742288.0,
Rwanda,RWA,2019,616.9659,330.708,12835029.0,
Samoa,WSM,2019,825.11957,96.84041,211915.0,
Serbia,SRB,2019,765.5632,19.348572,7401056.0,
Singapore,SGP,2019,255.99792,54.01606,5866408.0,
Slovenia,SVN,2019,392.27505,15.99708,2112905.0,
Solomon Islands,SLB,2019,1429.0815,363.72787,675000.0,
Somalia,SOM,2019,738.3954,761.53156,15981312.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,319.02228,29.485096,51803832.0,
Thailand,THA,2019,389.60016,81.54954,71307768.0,
Turkmenistan,TKM,2019,808.3424,63.995625,6158424.0,
Tuvalu,TUV,2019,967.43176,117.40613,10983.0,
Uganda,UGA,2019,619.6569,433.1199,42949076.0,
Ukraine,UKR,2019,857.92255,44.720974,44211100.0,
United Kingdom,GBR,2019,409.8848,35.051857,66778660.0,
United States,USA,2019,458.9197,26.05369,334319680.0,
Uruguay,URY,2019,496.23846,44.370884,3428412.0,
Uzbekistan,UZB,2019,1253.4861,71.0172,32976946.0,
Vietnam,VNM,2019,622.90466,78.75377,95776712.0,
World,OWID_WRL,2019,539.6206,140.68198,7764951040.0,
Zambia,ZMB,2019,740.9937,520.5755,18380478.0,
