Entity,Code,Year,Total affected
All disasters,,1900,0
All disasters,,1905,22295
All disasters,,1910,32000
All disasters,,1915,3000022
All disasters,,1920,20000167
All disasters,,1925,17628
All disasters,,1930,52632
All disasters,,1935,10313092
All disasters,,1940,69705
All disasters,,1945,1906261
All disasters,,1950,10814367
All disasters,,1955,405729
All disasters,,1960,2843827
All disasters,,1965,122997291
All disasters,,1970,47196529
All disasters,,1975,51089224
All disasters,,1980,92739364
All disasters,,1985,27975584
All disasters,,1990,95820521
All disasters,,1995,222286804
All disasters,,2000,169953905
All disasters,,2005,160310808
All disasters,,2010,266543904
All disasters,,2015,430959537
All disasters,,2023,52517384
