Entity,Code,Year,GDP per person employed (constant 2017 PPP $)
Brazil,BRA,1991,27617.316
Brazil,BRA,1995,28187.076
Brazil,BRA,2000,28754.955
Brazil,BRA,2005,28908.057
Brazil,BRA,2010,33242.613
Brazil,BRA,2015,33985.25
Brazil,BRA,2021,36732.785
China,CHN,1991,2794.9136
China,CHN,1995,4361.127
China,CHN,2000,6154.5483
China,CHN,2005,9467.676
China,CHN,2010,16082.517
China,CHN,2015,23031.416
China,CHN,2021,33004.766
France,FRA,1991,84128.055
France,FRA,1995,89268.805
France,FRA,2000,97732.82
France,FRA,2005,99085.53
France,FRA,2010,100174.375
France,FRA,2015,105513.5
France,FRA,2021,106500.18
Germany,DEU,1991,81303.83
Germany,DEU,1995,88643.58
Germany,DEU,2000,96141.45
Germany,DEU,2005,98939.69
Germany,DEU,2010,98485.625
Germany,DEU,2015,102705.09
Germany,DEU,2021,104314.484
India,IND,1991,5262.9727
India,IND,1995,6092.9204
India,IND,2000,7328.252
India,IND,2005,8840.044
India,IND,2010,12073.412
India,IND,2015,16104.522
India,IND,2021,20703.234
Japan,JPN,1991,65566.266
Japan,JPN,1995,67308.37
Japan,JPN,2000,71325.09
Japan,JPN,2005,76725.78
Japan,JPN,2010,77571.31
Japan,JPN,2015,80359.375
Japan,JPN,2021,76839.07
Mexico,MEX,1991,45471.145
Mexico,MEX,1995,43047.387
Mexico,MEX,2000,47327.61
Mexico,MEX,2005,46031.01
Mexico,MEX,2010,45532.09
Mexico,MEX,2015,47178.184
Mexico,MEX,2021,45055.094
Russia,RUS,1991,42424.043
Russia,RUS,1995,30481.768
Russia,RUS,2000,32611.648
Russia,RUS,2005,41789.453
Russia,RUS,2010,48831.27
Russia,RUS,2015,52660.97
Russia,RUS,2021,59266.54
United Kingdom,GBR,1991,67132.49
United Kingdom,GBR,1995,74445.88
United Kingdom,GBR,2000,82579.28
United Kingdom,GBR,2005,88343.67
United Kingdom,GBR,2010,89256.836
United Kingdom,GBR,2015,91931.41
United Kingdom,GBR,2021,91572.06
United States,USA,1991,83854.95
United States,USA,1995,88762.164
United States,USA,2000,100634.234
United States,USA,2005,110935.875
United States,USA,2010,118272.78
United States,USA,2015,123834.125
United States,USA,2021,135640.78
