Entity,Code,Year,"Labor force, female (% of total labor force)"
Brazil,BRA,1990,34.325943
Brazil,BRA,1995,37.65816
Brazil,BRA,2000,39.94189
Brazil,BRA,2005,42.49401
Brazil,BRA,2010,42.42268
Brazil,BRA,2015,42.62766
Brazil,BRA,2021,43.180256
Egypt,EGY,1990,24.028923
Egypt,EGY,1995,22.854683
Egypt,EGY,2000,22.15137
Egypt,EGY,2005,22.190655
Egypt,EGY,2010,23.379135
Egypt,EGY,2015,24.14831
Egypt,EGY,2021,18.545753
Nepal,NPL,1990,46.759716
Nepal,NPL,1995,46.970966
Nepal,NPL,2000,47.517082
Nepal,NPL,2005,48.465332
Nepal,NPL,2010,50.124195
Nepal,NPL,2015,52.807583
Nepal,NPL,2021,52.829105
Norway,NOR,1990,44.93388
Norway,NOR,1995,46.19659
Norway,NOR,2000,46.588444
Norway,NOR,2005,47.145844
Norway,NOR,2010,47.3106
Norway,NOR,2015,47.801067
Norway,NOR,2021,45.32477
Saudi Arabia,SAU,1990,10.769704
Saudi Arabia,SAU,1995,11.626329
Saudi Arabia,SAU,2000,12.515343
Saudi Arabia,SAU,2005,13.919392
Saudi Arabia,SAU,2010,14.35599
Saudi Arabia,SAU,2015,15.818911
Saudi Arabia,SAU,2021,20.40683
