Entity,Code,Year,Oil production - TWh
Africa (EI),,1965,1235.101
Africa (EI),,1970,3399.6292
Africa (EI),,1980,3492.487
Africa (EI),,1990,3696.372
Africa (EI),,2000,4319.322
Africa (EI),,2010,5662.934
Africa (EI),,2022,3864.885
Asia Pacific (EI),,1965,522.24554
Asia Pacific (EI),,1970,1148.6549
Asia Pacific (EI),,1980,2847.7197
Asia Pacific (EI),,1990,3791.2957
Asia Pacific (EI),,2000,4436.488
Asia Pacific (EI),,2010,4690.432
Asia Pacific (EI),,2022,4019.1592
CIS (EI),,1965,2824.7874
CIS (EI),,1970,4105.8438
CIS (EI),,1980,7014.9834
CIS (EI),,1990,6571.473
CIS (EI),,2000,4568.1377
CIS (EI),,2010,7679.2314
CIS (EI),,2022,7938.099
Europe (EI),,1965,453.6398
Europe (EI),,1970,488.33206
Europe (EI),,1980,1667.4841
Europe (EI),,1990,2595.16
Europe (EI),,2000,3902.6023
Europe (EI),,2010,2325.7244
Europe (EI),,2022,1716.0735
Middle East (EI),,1965,4869.3755
Middle East (EI),,1970,8062.9077
Middle East (EI),,1980,10862.523
Middle East (EI),,1990,9738.978
Middle East (EI),,2000,13129.186
Middle East (EI),,2010,14062.693
Middle East (EI),,2022,16765.377
North America,,1965,5772.573
North America,,1970,7383.0645
North America,,1980,7925.788
North America,,1990,7707.409
North America,,2000,7586.664
North America,,2010,7544.087
North America,,2022,13218.32
North America (EI),,1965,5694.31
North America (EI),,1970,7300.5786
North America (EI),,1980,7799.6685
North America (EI),,1990,7612.3447
North America (EI),,2000,7477.9653
North America (EI),,2010,7435.9434
North America (EI),,2022,13154.966
South and Central America (EI),,1965,2631.623
South and Central America (EI),,1970,2927.9377
South and Central America (EI),,1980,2264.7192
South and Central America (EI),,1990,2721.1543
South and Central America (EI),,2000,4010.4692
South and Central America (EI),,2010,4408.0347
South and Central America (EI),,2022,3797.0115
