Entity,Code,Year,Combined - average years of education for 15-64 years male and female youth and adults,$3.65 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,,,25357168.0,
Bangladesh,BGD,2019,,,165516224.0,
Benin,BEN,2019,,,12290443.0,
Brazil,BRA,2019,,10.754982,211782880.0,
China,CHN,2019,,3.0115652,1421864064.0,
Colombia,COL,2019,,13.7154665,50187404.0,
Ecuador,ECU,2019,,9.881423,17343742.0,
Egypt,EGY,2019,,17.624195,105618672.0,
Eswatini,SWZ,2019,,,1169620.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,,12.35582,918472.0,
Gabon,GAB,2019,,,2242788.0,
Gambia,GMB,2019,,,2508882.0,
Honduras,HND,2019,,26.42796,9958832.0,
India,IND,2019,,45.894085,1383112064.0,
Indonesia,IDN,2019,,24.668669,269582880.0,
Kenya,KEN,2019,,,50951452.0,
Kyrgyzstan,KGZ,2019,,11.680725,6323643.0,
Malawi,MWI,2019,,89.059975,18867340.0,
Mauritania,MRT,2019,,,4383853.0,
Mexico,MEX,2019,,,125085312.0,
Mozambique,MOZ,2019,,88.60357,30285602.0,
Myanmar,MMR,2019,,,53040212.0,
Namibia,NAM,2019,,,2446648.0,
Nicaragua,NIC,2019,,,6663919.0,
Niger,NER,2019,,,23443400.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,,,223293280.0,
Paraguay,PRY,2019,,5.1173153,6530029.0,
Russia,RUS,2019,,0.2661196,145742288.0,
Rwanda,RWA,2019,,,12835029.0,
Senegal,SEN,2019,,,16000783.0,
Sierra Leone,SLE,2019,,,8046830.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,,,43232092.0,
Taiwan,TWN,2019,,,23777742.0,
Tajikistan,TJK,2019,,,9337008.0,
Tanzania,TZA,2019,,,59872584.0,
Togo,TGO,2019,,,8243093.0,
Ukraine,UKR,2019,,0.31749678,44211100.0,
United States,USA,2019,,1.249406,334319680.0,
Yemen,YEM,2019,,,31546694.0,
Zambia,ZMB,2019,,,18380478.0,
Zimbabwe,ZWE,2019,,64.50986,15354606.0,
