Entity,Code,Year,Road accident deaths
France,FRA,1980,13672.0
France,FRA,2000,8079.0
France,FRA,2021,2944.0
Germany,DEU,1960,14406.0
Germany,DEU,1980,13041.0
Germany,DEU,2000,7503.0
Germany,DEU,2021,2562.0
Ukraine,UKR,1980,7291.0
Ukraine,UKR,2000,5185.0
United Kingdom,GBR,1980,6239.0
United Kingdom,GBR,2000,3580.0
United Kingdom,GBR,2021,1608.0
United States,USA,1900,36.0
United States,USA,1920,12155.0
United States,USA,1940,32914.0
United States,USA,1960,36399.0
United States,USA,1980,51091.0
United States,USA,2000,41945.0
United States,USA,2021,42915.0
