Entity,Code,Year,Important in life: Family,Continent
Albania,ALB,2022,99.3763,
Bolivia,BOL,2022,98.8389,
Egypt,EGY,2022,100.0,
Guatemala,GTM,2022,99.2677,
Iran,IRN,2022,99.13275,
Iraq,IRQ,2022,99.5,
Japan,JPN,2022,98.22617,
Jordan,JOR,2022,99.83375,
Kenya,KEN,2022,99.21011,
Latvia,LVA,2022,97.98802,
Montenegro,MNE,2022,97.4534,
Netherlands,NLD,2022,94.07849,
Nicaragua,NIC,2022,99.58334,
Poland,POL,2022,99.03435,
Puerto Rico,PRI,2022,98.66904,
South Korea,KOR,2022,99.67871,
Sweden,SWE,2022,98.37906,
Switzerland,CHE,2022,96.58672,
