Entity,Code,Year,"17.17.1 - Amount of United States dollars committed to public-private partnerships for infrastructure, million USD real - GF_COM_PPPI_KD"
China,CHN,2000,13278450000.0
China,CHN,2005,11583740000.0
China,CHN,2010,699560000.0
China,CHN,2015,8013080000.0
China,CHN,2020,6285350000.0
Malaysia,MYS,2000,7489340000.0
Malaysia,MYS,2005,3281070000.0
Malaysia,MYS,2010,39860000.0
Malaysia,MYS,2015,2908570000.0
Mexico,MEX,2000,4473920000.0
Mexico,MEX,2005,1295100000.0
Mexico,MEX,2010,3156330000.0
Mexico,MEX,2015,5523300000.0
Mexico,MEX,2020,4363900000.0
Russia,RUS,2000,439310000.0
Russia,RUS,2005,445490000.0
Russia,RUS,2010,16956040000.0
Russia,RUS,2015,3564060000.0
Russia,RUS,2020,1412660000.0
