Entity,Code,Year,Estimated HIV in incident tuberculosis
France,FRA,2000,15.0
France,FRA,2005,10.0
France,FRA,2010,8.2
France,FRA,2015,6.0
France,FRA,2020,5.1
France,FRA,2022,4.6
Malawi,MWI,2000,79.0
Malawi,MWI,2005,67.0
Malawi,MWI,2010,77.0
Malawi,MWI,2015,53.0
Malawi,MWI,2020,45.0
Malawi,MWI,2022,48.0
Rwanda,RWA,2000,53.0
Rwanda,RWA,2005,45.0
Rwanda,RWA,2010,32.0
Rwanda,RWA,2015,27.0
Rwanda,RWA,2020,19.0
Rwanda,RWA,2022,13.0
Sweden,SWE,2000,4.0
Sweden,SWE,2005,2.7
Sweden,SWE,2010,2.2
Sweden,SWE,2015,1.9
Sweden,SWE,2020,2.2
Sweden,SWE,2022,2.2
