Entity,Code,Year,Deaths - Chronic respiratory diseases - Sex: Both - Age: Age-standardized (Rate)
World,OWID_WRL,1990,87.89
World,OWID_WRL,1995,83.89
World,OWID_WRL,2000,77.55
World,OWID_WRL,2005,68.57
World,OWID_WRL,2010,59.69
World,OWID_WRL,2015,53.92
World,OWID_WRL,2019,51.28
World Bank High Income,,1990,30.19
World Bank High Income,,1995,29.47
World Bank High Income,,2000,28.33
World Bank High Income,,2005,26.46
World Bank High Income,,2010,24.92
World Bank High Income,,2015,24.58
World Bank High Income,,2019,24.19
World Bank Low Income,,1990,95.15
World Bank Low Income,,1995,91.79
World Bank Low Income,,2000,85.8
World Bank Low Income,,2005,81.76
World Bank Low Income,,2010,78.97
World Bank Low Income,,2015,75.09
World Bank Low Income,,2019,71.73
World Bank Lower Middle Income,,1990,122.24
World Bank Lower Middle Income,,1995,117.58
World Bank Lower Middle Income,,2000,114.41
World Bank Lower Middle Income,,2005,105.72
World Bank Lower Middle Income,,2010,96.38
World Bank Lower Middle Income,,2015,93.58
World Bank Lower Middle Income,,2019,88.8
World Bank Upper Middle Income,,1990,131.87
World Bank Upper Middle Income,,1995,122.92
World Bank Upper Middle Income,,2000,106.58
World Bank Upper Middle Income,,2005,87.79
World Bank Upper Middle Income,,2010,68.88
World Bank Upper Middle Income,,2015,54.26
World Bank Upper Middle Income,,2019,49.74
