Entity,Code,Year,Deaths - Tetanus - Sex: Both - Age: All Ages (Number)
Denmark,DNK,1990,0
Denmark,DNK,1995,0
Denmark,DNK,2000,0
Denmark,DNK,2005,0
Denmark,DNK,2010,0
Denmark,DNK,2015,0
Denmark,DNK,2019,0
Panama,PAN,1990,3
Panama,PAN,1995,1
Panama,PAN,2000,1
Panama,PAN,2005,0
Panama,PAN,2010,0
Panama,PAN,2015,0
Panama,PAN,2019,0
World Bank Low Income,,1990,37916
World Bank Low Income,,1995,34427
World Bank Low Income,,2000,30741
World Bank Low Income,,2005,22063
World Bank Low Income,,2010,16857
World Bank Low Income,,2015,13207
World Bank Low Income,,2019,10436
