Entity,Code,Year,Daily caloric intake per person that comes from animal protein,Mean male height (cm),Continent
Afghanistan,AFG,1996,68.93811,165.2558607,
Africa,,1996,46.03304,,
Albania,ALB,1996,172.80316,173.3888563,
Algeria,DZA,1996,66.27042,170.0718002,
Angola,AGO,1996,35.0791,167.3107273,
Antigua and Barbuda,ATG,1996,204.17377,172.7069903,
Argentina,ARG,1996,256.28894,174.6157252,
Armenia,ARM,1996,65.866455,171.9966462,
Asia,,1996,75.1874,,
Australia,AUS,1996,277.6853,179.2046477,
Austria,AUT,1996,263.5166,177.4077047,
Bangladesh,BGD,1996,23.525131,163.8082283,
Barbados,BRB,1996,192.54938,175.9161243,
Belarus,BLR,1996,202.02124,178.4384054,
Belize,BLZ,1996,103.12241,168.7317804,
Bermuda,BMU,1996,232.80685,172.6878702,
Bolivia,BOL,1996,87.2811,166.8462997,
Bosnia and Herzegovina,BIH,1996,74.00643,180.8691741,
Botswana,BWA,1996,109.338806,171.6276505,
Brazil,BRA,1996,154.01869,173.5512114,
Brunei,BRN,1996,203.32594,165.0090651,
Bulgaria,BGR,1996,152.98354,178.2402511,
Burkina Faso,BFA,1996,38.479233,169.3288328,
Cambodia,KHM,1996,34.395885,163.3296025,
Canada,CAN,1996,225.38016,178.0903724,
Cape Verde,CPV,1996,86.576065,173.2239364,
Chile,CHL,1996,153.00537,171.8112817,
China,CHN,1996,91.96429,171.8276872,
Colombia,COL,1996,120.512955,169.4950788,
Congo,COG,1996,61.709778,167.4476256,
Costa Rica,CRI,1996,131.58809,168.9318804,
Cote d'Ivoire,CIV,1996,50.581406,166.5328825,
Croatia,HRV,1996,107.481895,180.7818566,
Czechia,CZE,1996,219.84856,180.1037446,
Dominica,DMA,1996,204.43468,176.3131916,
East Timor,TLS,1996,59.545177,159.7905503,
Ecuador,ECU,1996,109.96363,167.076619,
Estonia,EST,1996,206.55228,181.5934781,
Ethiopia,ETH,1996,20.811522,166.2315083,
Europe,,1996,212.7371,,
Fiji,FJI,1996,108.563774,173.9016453,
Finland,FIN,1996,257.2644,179.5909033,
France,FRA,1996,308.744,179.7379129,
Gabon,GAB,1996,151.05351,167.9359895,
Germany,DEU,1996,233.52774,179.8811774,
Ghana,GHA,1996,58.96187,168.8493553,
Greece,GRC,1996,239.46034,177.3160349,
Guatemala,GTM,1996,51.227303,163.4083889,
Haiti,HTI,1996,27.546333,172.6377544,
Hong Kong,HKG,1996,275.31567,173.6138509,
India,IND,1996,37.885506,164.9458981,
Iraq,IRQ,1996,20.784546,170.4300961,
Jamaica,JAM,1996,137.19574,174.5282957,
Japan,JPN,1996,219.99837,170.8176462,
Kazakhstan,KAZ,1996,140.34694,171.1440372,
Laos,LAO,1996,33.023087,160.5189936,
Latvia,LVA,1996,182.14679,181.4223721,
Lithuania,LTU,1996,187.06131,179.028358,
Malawi,MWI,1996,19.103605,162.2277323,
Malaysia,MYS,1996,177.36311,167.8849165,
Maldives,MDV,1996,205.47182,167.6836237,
Mauritania,MRT,1996,112.24071,163.2810601,
Moldova,MDA,1996,98.71975,175.489202,
Morocco,MAR,1996,55.48464,170.4001635,
Nepal,NPL,1996,32.32497,162.3183332,
North America,,1996,220.62032,175.9695,
Oceania,,1996,257.75644,,
Peru,PER,1996,86.55709,165.2324719,
Philippines,PHL,1996,81.19378,163.2291559,
Portugal,PRT,1996,250.23637,172.9328818,
Romania,ROU,1996,167.71411,174.740883,
Russia,RUS,1996,163.51604,176.4605305,
Saint Kitts and Nevis,KNA,1996,179.02042,169.6233446,
South America,,1996,151.04338,,
United States,USA,1996,285.56644,177.1303957,
Uruguay,URY,1996,220.97354,173.432458,
