Entity,Code,Year,"Deaths that are from all causes attributed to smoking per 100,000 people, in both sexes aged age-standardized"
Central African Republic,CAF,1990,122.22806
Central African Republic,CAF,1995,122.51709
Central African Republic,CAF,2000,117.10891
Central African Republic,CAF,2005,106.16551
Central African Republic,CAF,2010,94.974625
Central African Republic,CAF,2015,86.52773
Central African Republic,CAF,2019,81.70987
France,FRA,1990,103.479225
France,FRA,1995,94.38795
France,FRA,2000,85.365906
France,FRA,2005,73.70241
France,FRA,2010,67.01134
France,FRA,2015,61.975376
France,FRA,2019,58.122818
United Kingdom,GBR,1990,195.34468
United Kingdom,GBR,1995,174.84035
United Kingdom,GBR,2000,149.10162
United Kingdom,GBR,2005,123.93192
United Kingdom,GBR,2010,102.93479
United Kingdom,GBR,2015,92.10341
United Kingdom,GBR,2019,90.22582
