Entity,Code,Year,Women Business and the Law Index Score (scale 1-100)
Europe and Central Asia (WB),,1970,56.594387
Europe and Central Asia (WB),,1980,62.334183
Europe and Central Asia (WB),,1990,65.880104
Europe and Central Asia (WB),,2000,73.69898
Europe and Central Asia (WB),,2010,87.34694
Europe and Central Asia (WB),,2022,91.28827
Latin America and Caribbean (WB),,1970,47.51894
Latin America and Caribbean (WB),,1980,53.10606
Latin America and Caribbean (WB),,1990,60.321968
Latin America and Caribbean (WB),,2000,69.69697
Latin America and Caribbean (WB),,2010,75.681816
Latin America and Caribbean (WB),,2022,80.85227
Middle East and North Africa (WB),,1970,30.922619
Middle East and North Africa (WB),,1980,32.738094
Middle East and North Africa (WB),,1990,34.136906
Middle East and North Africa (WB),,2000,37.02381
Middle East and North Africa (WB),,2010,42.886906
Middle East and North Africa (WB),,2022,54.49405
South Asia (WB),,1970,43.046875
South Asia (WB),,1980,44.21875
South Asia (WB),,1990,43.75
South Asia (WB),,2000,46.015625
South Asia (WB),,2010,54.453125
South Asia (WB),,2022,63.671875
Sub-Saharan Africa (WB),,1970,38.059895
Sub-Saharan Africa (WB),,1980,41.953125
Sub-Saharan Africa (WB),,1990,46.26302
Sub-Saharan Africa (WB),,2000,53.098957
Sub-Saharan Africa (WB),,2010,62.734375
Sub-Saharan Africa (WB),,2022,72.64323
World,OWID_WRL,1970,45.763157
World,OWID_WRL,1980,50.098682
World,OWID_WRL,1990,54.174343
World,OWID_WRL,2000,60.789474
World,OWID_WRL,2010,69.69408
World,OWID_WRL,2022,77.08881
