Entity,Code,Year,3.5.2 - Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol) - SH_ALC_CONSPT - Male,3.5.2 - Alcohol consumption per capita (aged 15 years and older) within a calendar year (litres of pure alcohol) - SH_ALC_CONSPT - Female,Population,Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,9.82,2.71,32353592.0,
Asia,,2019,,,4627738749.0,
Bolivia,BOL,2019,6.3,1.9,11777318.0,
Botswana,BWA,2019,13.82,2.81,2499705.0,
Brazil,BRA,2019,12.32,3.27,211782880.0,
Burkina Faso,BFA,2019,16.59,3.31,20951638.0,
China,CHN,2019,9.09,2.28,1421864064.0,
Colombia,COL,2019,8.06,1.91,50187404.0,
Czechia,CZE,2019,21.09,5.84,10536876.0,
Democratic Republic of Congo,COD,2019,3.41,0.86,89906896.0,
Ecuador,ECU,2019,5.05,1.49,17343742.0,
Ethiopia,ETH,2019,5.71,1.04,114120592.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,14.38,4.14,5521539.0,
France,FRA,2019,18.04,5.14,64399760.0,
Georgia,GEO,2019,24.31,5.86,3770814.0,
Germany,DEU,2019,19.22,5.49,83148144.0,
India,IND,2019,8.1,1.56,1383112064.0,
Indonesia,IDN,2019,0.19,0.03,269582880.0,
Japan,JPN,2019,10.74,2.89,125791680.0,
Kenya,KEN,2019,4.78,1.0,50951452.0,
Laos,LAO,2019,18.15,4.85,7212058.0,
Madagascar,MDG,2019,1.69,0.35,27533134.0,
Mauritius,MUS,2019,12.45,2.75,1296284.0,
Montenegro,MNE,2019,16.86,4.31,630403.0,
Nigeria,NGA,2019,7.02,1.37,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Romania,ROU,2019,27.3,7.51,19524212.0,
Russia,RUS,2019,17.95,4.17,145742288.0,
South Africa,ZAF,2019,15.2,2.93,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,12.79,3.63,51803832.0,
Tanzania,TZA,2019,17.55,3.59,59872584.0,
Turkey,TUR,2019,3.21,0.44,83481688.0,
Uganda,UGA,2019,19.93,4.88,42949076.0,
United Kingdom,GBR,2019,16.95,4.94,66778660.0,
United States,USA,2019,15.03,4.29,334319680.0,
Uruguay,URY,2019,8.71,2.49,3428412.0,
Vietnam,VNM,2019,15.26,3.78,95776712.0,
