Entity,Code,Year,"Deaths that are from invasive non-typhoidal salmonella (ints) per 100,000 people, in both sexes aged under 5"
Argentina,ARG,1990,0.016799808
Argentina,ARG,1995,0.020235179
Argentina,ARG,2000,0.02214478
Argentina,ARG,2005,0.016615232
Argentina,ARG,2010,0.016200136
Argentina,ARG,2015,0.012182307
Argentina,ARG,2019,0.011698922
Bangladesh,BGD,1990,1.3825642
Bangladesh,BGD,1995,1.4430137
Bangladesh,BGD,2000,1.2391416
Bangladesh,BGD,2005,1.2512727
Bangladesh,BGD,2010,1.1629589
Bangladesh,BGD,2015,1.2395327
Bangladesh,BGD,2019,1.0108967
Laos,LAO,1990,1.108309
Laos,LAO,1995,0.9178549
Laos,LAO,2000,0.8396838
Laos,LAO,2005,0.79461366
Laos,LAO,2010,0.7663288
Laos,LAO,2015,0.5548166
Laos,LAO,2019,0.5293378
Puerto Rico,PRI,1990,0.0092928605
Puerto Rico,PRI,1995,0.019073693
Puerto Rico,PRI,2000,0.014987671
Puerto Rico,PRI,2005,0.01199966
Puerto Rico,PRI,2010,0.013672222
Puerto Rico,PRI,2015,0.010378668
Puerto Rico,PRI,2019,0.0099573
