Entity,Code,Year,natural_ha_share
Ecuador,ECU,1780,87.79818889
Ecuador,ECU,1800,88.06112066
Ecuador,ECU,1850,86.91472603
Ecuador,ECU,1900,84.87877269
Ecuador,ECU,1950,77.94704435
Ecuador,ECU,2010,68.7578302
North Korea,PRK,1780,93.29145424
North Korea,PRK,1800,92.84255098
North Korea,PRK,1850,92.0377067
North Korea,PRK,1900,91.50707502
North Korea,PRK,1950,84.8303827
North Korea,PRK,2010,78.56160708
Serbia,SRB,1780,73.95039514
Serbia,SRB,1800,73.76408036
Serbia,SRB,1850,68.48559436
Serbia,SRB,1900,48.76913419
Serbia,SRB,1950,35.9285646
Serbia,SRB,2010,42.15619048
United Kingdom,GBR,1780,63.48370964
United Kingdom,GBR,1800,62.85966801
United Kingdom,GBR,1850,57.2221511
United Kingdom,GBR,1900,41.70778451
United Kingdom,GBR,1950,29.42429761
United Kingdom,GBR,2010,47.39662763
