Entity,Code,Year,14.7.1 - Sustainable fisheries as a proportion of GDP - EN_SCP_FSHGDP
Least Developed Countries (LDCs),,2011,1.27
Least Developed Countries (LDCs),,2013,1.16
Least Developed Countries (LDCs),,2015,1.24
Least Developed Countries (LDCs),,2017,1.2
Least Developed Countries (LDCs),,2019,0.88
Small Island Developing States (SIDS),,2011,0.49
Small Island Developing States (SIDS),,2013,0.49
Small Island Developing States (SIDS),,2015,0.5
Small Island Developing States (SIDS),,2017,0.51
Small Island Developing States (SIDS),,2019,0.46
