Entity,Code,Year,Deaths - Opioid use disorders - Sex: Both - Age: All Ages (Percent)
Bulgaria,BGR,1990,0.02
Bulgaria,BGR,1995,0.03
Bulgaria,BGR,2000,0.04
Bulgaria,BGR,2005,0.04
Bulgaria,BGR,2010,0.04
Bulgaria,BGR,2015,0.04
Bulgaria,BGR,2019,0.04
Burkina Faso,BFA,1990,0.01
Burkina Faso,BFA,1995,0.01
Burkina Faso,BFA,2000,0.01
Burkina Faso,BFA,2005,0.01
Burkina Faso,BFA,2010,0.02
Burkina Faso,BFA,2015,0.02
Burkina Faso,BFA,2019,0.03
Lesotho,LSO,1990,0.01
Lesotho,LSO,1995,0.01
Lesotho,LSO,2000,0.01
Lesotho,LSO,2005,0.01
Lesotho,LSO,2010,0.01
Lesotho,LSO,2015,0.01
Lesotho,LSO,2019,0.01
Singapore,SGP,1990,0.02
Singapore,SGP,1995,0.03
Singapore,SGP,2000,0.03
Singapore,SGP,2005,0.04
Singapore,SGP,2010,0.05
Singapore,SGP,2015,0.05
Singapore,SGP,2019,0.05
