Entity,Code,Year,Days of vacation and holidays for full-time production workers in non-agricultural activities (Huberman & Minns 2007)
Denmark,DNK,1870,13.0
Denmark,DNK,1900,14.0
Denmark,DNK,1980,30.0
Denmark,DNK,2000,37.0
Ireland,IRL,1870,14.0
Ireland,IRL,1900,20.0
Ireland,IRL,1980,28.0
Ireland,IRL,2000,30.0
Netherlands,NLD,1870,4.0
Netherlands,NLD,1900,5.0
Netherlands,NLD,1980,33.0
Netherlands,NLD,2000,37.5
Spain,ESP,1870,31.0
Spain,ESP,1900,31.0
Spain,ESP,1980,30.0
Spain,ESP,2000,36.0
Switzerland,CHE,1870,13.0
Switzerland,CHE,1900,18.0
Switzerland,CHE,1980,28.0
Switzerland,CHE,2000,33.0
