Entity,Code,Year,Share of the population with access to a handwashing facility with soap and water at home (basic hygiene service) - Residence: Rural
El Salvador,SLV,2010,86.27332
El Salvador,SLV,2012,86.27332
El Salvador,SLV,2014,86.27332
El Salvador,SLV,2016,86.27332
El Salvador,SLV,2018,86.27332
Equatorial Guinea,GNQ,2008,19.8915
Equatorial Guinea,GNQ,2010,19.8915
Equatorial Guinea,GNQ,2012,19.8915
Equatorial Guinea,GNQ,2014,19.8915
Liberia,LBR,2008,0.0
Liberia,LBR,2010,0.0
Liberia,LBR,2012,0.3016991
Liberia,LBR,2014,0.6387428
Liberia,LBR,2016,0.7181246
Liberia,LBR,2018,0.7975064
Liberia,LBR,2020,0.8768882
Liberia,LBR,2022,0.95627
Mongolia,MNG,2004,31.52701
Mongolia,MNG,2006,31.52701
Mongolia,MNG,2008,31.52701
Mongolia,MNG,2010,39.797943
Mongolia,MNG,2012,48.068874
Mongolia,MNG,2014,56.33981
Mongolia,MNG,2016,64.61074
Mongolia,MNG,2018,72.881676
Mongolia,MNG,2020,81.15261
Mongolia,MNG,2022,81.15261
