Entity,Code,Year,Exports of goods and services (constant 2015 US$)
Georgia,GEO,2010,3765081900.0
Georgia,GEO,2015,6110519000.0
Georgia,GEO,2021,6953510000.0
Greece,GRC,1960,1972008600.0
Greece,GRC,1970,4210972000.0
Greece,GRC,1980,15800630000.0
Greece,GRC,1990,18147131000.0
Greece,GRC,2000,45603336000.0
Greece,GRC,2010,52947280000.0
Greece,GRC,2015,62867562000.0
Greece,GRC,2021,75727760000.0
Iraq,IRQ,2010,30815250000.0
Iraq,IRQ,2015,57560660000.0
Iraq,IRQ,2021,56055520000.0
Lebanon,LBN,1990,641473800.0
Lebanon,LBN,2000,4870613500.0
Lebanon,LBN,2010,12529240000.0
Lebanon,LBN,2015,11553483000.0
Lebanon,LBN,2021,5847509500.0
Nepal,NPL,2010,1553157900.0
Nepal,NPL,2015,2488355000.0
Nepal,NPL,2021,1690274300.0
Panama,PAN,1960,1549438100.0
Panama,PAN,1970,3949667300.0
Panama,PAN,1980,7262422500.0
Panama,PAN,1990,7616453600.0
Panama,PAN,2000,11103468000.0
Panama,PAN,2010,21631396000.0
Panama,PAN,2015,25793600000.0
Panama,PAN,2021,26453131000.0
Seychelles,SYC,1980,99244216.0
Seychelles,SYC,1990,308133920.0
Seychelles,SYC,2000,549519300.0
Seychelles,SYC,2010,825769800.0
Seychelles,SYC,2015,1290380700.0
Seychelles,SYC,2021,1174154200.0
United States,USA,1970,191417350000.0
United States,USA,1980,384772700000.0
United States,USA,1990,659885500000.0
United States,USA,2000,1313437400000.0
United States,USA,2010,1897489900000.0
United States,USA,2015,2268651000000.0
United States,USA,2021,2257272200000.0
