Entity,Code,Year,Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Rate)
England,,1990,0.17
England,,1995,0.2
England,,2000,0.3
England,,2005,0.34
England,,2010,0.28
England,,2015,0.25
England,,2019,0.23
Iran,IRN,1990,44.23
Iran,IRN,1995,22.24
Iran,IRN,2000,18.84
Iran,IRN,2005,12.36
Iran,IRN,2010,7.41
Iran,IRN,2015,4.74
Iran,IRN,2019,3.38
Malawi,MWI,1990,964.44
Malawi,MWI,1995,751.61
Malawi,MWI,2000,561.59
Malawi,MWI,2005,341.93
Malawi,MWI,2010,193.68
Malawi,MWI,2015,132.82
Malawi,MWI,2019,103.6
Maldives,MDV,1990,99.92
Maldives,MDV,1995,58.54
Maldives,MDV,2000,33.41
Maldives,MDV,2005,13.88
Maldives,MDV,2010,8.76
Maldives,MDV,2015,6.49
Maldives,MDV,2019,4.96
Mali,MLI,1990,990.91
Mali,MLI,1995,925.12
Mali,MLI,2000,770.98
Mali,MLI,2005,513.66
Mali,MLI,2010,289.44
Mali,MLI,2015,177.01
Mali,MLI,2019,159.29
Nauru,NRU,1990,17.04
Nauru,NRU,1995,16.12
Nauru,NRU,2000,18.67
Nauru,NRU,2005,18.13
Nauru,NRU,2010,16.69
Nauru,NRU,2015,11.6
Nauru,NRU,2019,9.99
