Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Benin,BEN,2019,5.1299,,12290443.0,
Botswana,BWA,2019,2.8834,,2499705.0,
Brazil,BRA,2019,1.7026,5.388581,211782880.0,
Burkina Faso,BFA,2019,4.971,,20951638.0,
Cameroon,CMR,2019,4.6226,,25782342.0,
Central African Republic,CAF,2019,6.0081,,5209329.0,
Chad,TCD,2019,6.4118,,16126868.0,
China,CHN,2019,1.4961,0.14242858,1421864064.0,
Cote d'Ivoire,CIV,2019,4.5381,,26147544.0,
Egypt,EGY,2019,3.0009,1.4670148,105618672.0,
Eswatini,SWZ,2019,2.9212,,1169620.0,
Ethiopia,ETH,2019,4.3226,,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,2.5195,1.3182689,918472.0,
Ghana,GHA,2019,3.6827,,31522294.0,
India,IND,2019,2.109,12.731296,1383112064.0,
Indonesia,IDN,2019,2.2148,4.380574,269582880.0,
Kenya,KEN,2019,3.4685,,50951452.0,
Kiribati,KIR,2019,3.368,1.6780767,124252.0,
Malawi,MWI,2019,4.0716,70.0606,18867340.0,
Mali,MLI,2019,6.1029,,20567430.0,
Mauritania,MRT,2019,4.5207,,4383853.0,
Mozambique,MOZ,2019,4.7826,74.38077,30285602.0,
Namibia,NAM,2019,3.4037,,2446648.0,
Niger,NER,2019,6.9614,,23443400.0,
Nigeria,NGA,2019,5.3793,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,3.62,,223293280.0,
Palestine,PSE,2019,3.6423,,4909775.0,
Philippines,PHL,2019,2.8047,,110380800.0,
Rwanda,RWA,2019,3.9389,,12835029.0,
Saint Lucia,LCA,2019,1.4237,,178594.0,
Sierra Leone,SLE,2019,4.1922,,8046830.0,
South Africa,ZAF,2019,2.4748,,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,4.6169,,43232092.0,
Tajikistan,TJK,2019,3.2811,,9337008.0,
Tanzania,TZA,2019,4.864,,59872584.0,
Thailand,THA,2019,1.3523,0.0950376,71307768.0,
Tunisia,TUN,2019,2.1477,,12049319.0,
Vanuatu,VUT,2019,3.813,9.963333,304414.0,
Yemen,YEM,2019,3.9626,,31546694.0,
Zambia,ZMB,2019,4.4509,,18380478.0,
Zimbabwe,ZWE,2019,3.5994,39.75453,15354606.0,
