Entity,Code,Year,Mostly help,Neither,Refused - help/harm question,"Don't have an opinion, Don't know - help/harm question",Mostly harm
Canada,CAN,2021,39.70297,0.7920792,0.0990099,30.49505,28.91089
China,CHN,2021,61.0,4.3142858,0.057142857,21.742857,12.885715
France,FRA,2021,39.7,5.0,,19.1,36.2
Germany,DEU,2021,59.8,10.4,,11.8,18.0
India,IND,2021,32.5,1.7666667,0.3,29.6,35.833332
Indonesia,IDN,2021,21.542803,0.752587,0.09407338,44.120415,33.490124
Italy,ITA,2021,50.2,7.8,,9.7,32.3
Japan,JPN,2021,61.48515,5.0495048,,20.29703,13.168317
Pakistan,PAK,2021,19.3,1.9,0.2,26.5,52.1
United Kingdom,GBR,2021,46.7,5.1,0.1,19.6,28.5
United States,USA,2021,35.024876,0.99502486,0.39800996,28.756218,34.82587
