Entity,Code,Year,Annual area burnt per wildfire
Cyprus,CYP,2012,2240.3333
Cyprus,CYP,2013,2493.0
Cyprus,CYP,2014,271.0
Cyprus,CYP,2015,1848.0
Cyprus,CYP,2016,3159.0
Cyprus,CYP,2017,585.0
Cyprus,CYP,2018,1527.0
Cyprus,CYP,2019,704.0
Cyprus,CYP,2020,1276.5
Cyprus,CYP,2021,2160.0
Cyprus,CYP,2022,833.0
Cyprus,CYP,2023,926.0
East Timor,TLS,2012,4911.2407
East Timor,TLS,2013,3666.2285
East Timor,TLS,2014,6046.101
East Timor,TLS,2015,5425.277
East Timor,TLS,2016,3294.4167
East Timor,TLS,2017,5519.071
East Timor,TLS,2018,5299.632
East Timor,TLS,2019,7076.51
East Timor,TLS,2020,5257.9897
East Timor,TLS,2021,3235.769
East Timor,TLS,2022,2858.65
East Timor,TLS,2023,4756.9204
Ireland,IRL,2012,764.6333
Ireland,IRL,2013,1142.9706
Ireland,IRL,2014,468.25
Ireland,IRL,2015,1594.0474
Ireland,IRL,2016,1447.5
Ireland,IRL,2017,2117.85
Ireland,IRL,2018,1625.8334
Ireland,IRL,2019,977.6666
Ireland,IRL,2020,1807.5
Ireland,IRL,2021,1084.4445
Ireland,IRL,2022,1246.7333
Ireland,IRL,2023,749.5
Mongolia,MNG,2012,29011.012
Mongolia,MNG,2013,14877.4795
Mongolia,MNG,2014,17710.96
Mongolia,MNG,2015,33919.973
Mongolia,MNG,2016,22874.416
Mongolia,MNG,2017,19259.148
Mongolia,MNG,2018,17127.766
Mongolia,MNG,2019,9408.802
Mongolia,MNG,2020,9507.443
Mongolia,MNG,2021,6723.0405
Mongolia,MNG,2022,11374.646
Mongolia,MNG,2023,10103.085
Saint Lucia,LCA,2015,235.0
Saint Lucia,LCA,2020,177.0
Uzbekistan,UZB,2012,10977.891
Uzbekistan,UZB,2013,11562.606
Uzbekistan,UZB,2014,13046.794
Uzbekistan,UZB,2015,11832.394
Uzbekistan,UZB,2016,10853.772
Uzbekistan,UZB,2017,10464.981
Uzbekistan,UZB,2018,10210.533
Uzbekistan,UZB,2019,13114.72
Uzbekistan,UZB,2020,11621.481
Uzbekistan,UZB,2021,12970.196
Uzbekistan,UZB,2022,10859.918
Uzbekistan,UZB,2023,10543.888
Uzbekistan,UZB,2024,1112.9386
