Entity,Code,Year,Deaths - Meningitis - Sex: Both - Age: Under 5 (Rate)
Brazil,BRA,1990,34.7
Brazil,BRA,1995,28.87
Brazil,BRA,2000,18.61
Brazil,BRA,2005,13.48
Brazil,BRA,2010,8.72
Brazil,BRA,2015,4.81
Brazil,BRA,2019,3.84
Eswatini,SWZ,1990,29.45
Eswatini,SWZ,1995,25.86
Eswatini,SWZ,2000,25.35
Eswatini,SWZ,2005,31.73
Eswatini,SWZ,2010,28.95
Eswatini,SWZ,2015,15.67
Eswatini,SWZ,2019,13.31
Guinea,GIN,1990,197.04
Guinea,GIN,1995,173.06
Guinea,GIN,2000,154.98
Guinea,GIN,2005,151.99
Guinea,GIN,2010,123.63
Guinea,GIN,2015,115.2
Guinea,GIN,2019,96.34
Oman,OMN,1990,4.52
Oman,OMN,1995,3.42
Oman,OMN,2000,3.38
Oman,OMN,2005,1.0
Oman,OMN,2010,0.89
Oman,OMN,2015,0.94
Oman,OMN,2019,0.72
