Entity,Code,Year,Deaths - Cause: Cardiovascular diseases - Sex: Both sexes - Age group: ALLAges
Australia,AUS,2000,47663.39
Australia,AUS,2005,46422.99
Australia,AUS,2010,44214.07
Australia,AUS,2015,45357.25
Australia,AUS,2019,42221.53
Brazil,BRA,2000,300616.8
Brazil,BRA,2005,310607.9
Brazil,BRA,2010,341910.2
Brazil,BRA,2015,361083.5
Brazil,BRA,2019,381428.2
China,CHN,2000,2914110.0
China,CHN,2005,3378471.0
China,CHN,2010,3647043.0
China,CHN,2015,3921029.0
China,CHN,2019,4306536.0
France,FRA,2000,165505.8
France,FRA,2005,153328.9
France,FRA,2010,149788.9
France,FRA,2015,151907.6
France,FRA,2019,148624.2
India,IND,2000,1690695.0
India,IND,2005,1747713.0
India,IND,2010,2038165.0
India,IND,2015,2326038.0
India,IND,2019,2566492.0
Nigeria,NGA,2000,135347.2
Nigeria,NGA,2005,132116.5
Nigeria,NGA,2010,129537.3
Nigeria,NGA,2015,137262.1
Nigeria,NGA,2019,146627.3
Philippines,PHL,2000,107821.0
Philippines,PHL,2005,133784.2
Philippines,PHL,2010,169475.9
Philippines,PHL,2015,205589.8
Philippines,PHL,2019,249998.8
South Africa,ZAF,2000,77343.43
South Africa,ZAF,2005,84350.49
South Africa,ZAF,2010,91140.38
South Africa,ZAF,2015,94113.21
South Africa,ZAF,2019,87793.84
United States,USA,2000,930893.1
United States,USA,2005,850810.5
United States,USA,2010,775085.5
United States,USA,2015,814201.0
United States,USA,2019,873200.1
