Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Age-standardized (Rate)
India,IND,1990,15.78
India,IND,1995,11.55
India,IND,2000,6.16
India,IND,2005,6.04
India,IND,2010,4.9
India,IND,2015,4.08
India,IND,2019,2.61
Malawi,MWI,1990,167.13
Malawi,MWI,1995,159.88
Malawi,MWI,2000,116.92
Malawi,MWI,2005,82.96
Malawi,MWI,2010,62.96
Malawi,MWI,2015,43.86
Malawi,MWI,2019,43.82
South Africa,ZAF,1990,1.13
South Africa,ZAF,1995,0.94
South Africa,ZAF,2000,0.06
South Africa,ZAF,2005,0.14
South Africa,ZAF,2010,0.09
South Africa,ZAF,2015,0.01
South Africa,ZAF,2019,0.8
South Sudan,SSD,1990,62.91
South Sudan,SSD,1995,68.82
South Sudan,SSD,2000,74.67
South Sudan,SSD,2005,66.91
South Sudan,SSD,2010,43.08
South Sudan,SSD,2015,45.81
South Sudan,SSD,2019,44.68
