Entity,Code,Year,Tea | 00000667 || Production | 005510 || tonnes
Americas (FAO),,1961,12865
Americas (FAO),,1965,21601
Americas (FAO),,1970,34256
Americas (FAO),,1975,50831
Americas (FAO),,1980,50388
Americas (FAO),,1985,60565
Americas (FAO),,1990,65570
South Korea,KOR,1961,50
South Korea,KOR,1965,70
South Korea,KOR,1970,276
South Korea,KOR,1975,200
South Korea,KOR,1980,200
South Korea,KOR,1985,400
South Korea,KOR,1990,254
Uganda,UGA,1961,5100
Uganda,UGA,1965,8366
Uganda,UGA,1970,18200
Uganda,UGA,1975,18400
Uganda,UGA,1980,1500
Uganda,UGA,1985,5758
Uganda,UGA,1990,6704
