Entity,Code,Year,Very important in life: Leisure time,Continent
Azerbaijan,AZE,2022,27.47131,
Belarus,BLR,2022,30.33611,
Brazil,BRA,2022,35.50381,
Cyprus,CYP,2022,44.99337,
Czechia,CZE,2022,42.58267,
Germany,DEU,2022,38.27301,
Greece,GRC,2022,39.58303,
Hungary,HUN,2022,43.72214,
Kenya,KEN,2022,47.55134,
Libya,LBY,2022,32.57957,
Myanmar,MMR,2022,22.33333,
Nigeria,NGA,2022,67.48545,
Northern Ireland,,2022,49.73066,
Norway,NOR,2022,50.84383,
Slovenia,SVN,2022,41.07954,
Spain,ESP,2022,48.47452,
Uruguay,URY,2022,54.83554,
Vietnam,VNM,2022,12.83333,
