Entity,Code,Year,wom_emp_vdem_owid,wom_emp_vdem_high_owid,wom_emp_vdem_low_owid
Argentina,ARG,1789,0.106,0.135,0.053
Argentina,ARG,1850,0.161,0.212,0.092
Argentina,ARG,1900,0.301,0.38,0.23
Argentina,ARG,1950,0.505,0.571,0.416
Argentina,ARG,2000,0.859,0.913,0.805
Argentina,ARG,2022,0.876,0.943,0.838
Australia,AUS,1789,0.227,0.295,0.161
Australia,AUS,1950,0.593,0.665,0.533
Australia,AUS,2000,0.931,0.971,0.906
Australia,AUS,2022,0.937,0.977,0.91
Botswana,BWA,1900,0.134,0.179,0.067
Botswana,BWA,1950,0.144,0.194,0.079
Botswana,BWA,2000,0.768,0.831,0.712
Botswana,BWA,2022,0.721,0.79,0.663
China,CHN,1789,0.103,0.126,0.072
China,CHN,1850,0.103,0.126,0.072
China,CHN,1900,0.107,0.131,0.078
China,CHN,1950,0.407,0.457,0.336
China,CHN,2000,0.619,0.694,0.545
China,CHN,2022,0.602,0.668,0.527
