Entity,Code,Year,16.a.1 - Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%) - SG_NHR_IMPL
Central and Southern Asia (UN),,2000,7.14
Central and Southern Asia (UN),,2005,14.29
Central and Southern Asia (UN),,2010,21.43
Central and Southern Asia (UN),,2015,21.43
Central and Southern Asia (UN),,2021,28.57
Developing regions,,2005,26.7
Developing regions,,2010,30.8
Developing regions,,2015,32.2
Eastern and South-Eastern Asia (UN),,2000,11.76
Eastern and South-Eastern Asia (UN),,2005,35.29
Eastern and South-Eastern Asia (UN),,2010,41.18
Eastern and South-Eastern Asia (UN),,2015,35.29
Eastern and South-Eastern Asia (UN),,2021,35.29
Europe and Northern America (UN),,2000,15.22
Europe and Northern America (UN),,2005,28.26
Europe and Northern America (UN),,2010,39.13
Europe and Northern America (UN),,2015,45.65
Europe and Northern America (UN),,2021,58.7
Latin America and the Caribbean (UN),,2000,23.53
Latin America and the Caribbean (UN),,2005,32.35
Latin America and the Caribbean (UN),,2010,41.18
Latin America and the Caribbean (UN),,2015,41.18
Latin America and the Caribbean (UN),,2021,38.24
Least Developed Countries (LDCs),,2000,12.5
Least Developed Countries (LDCs),,2005,22.9
Least Developed Countries (LDCs),,2010,20.8
Least Developed Countries (LDCs),,2015,27.1
Least Developed Countries (LDCs),,2021,37.5
Oceania (UN),,2000,8.33
Oceania (UN),,2005,8.33
Oceania (UN),,2010,0.0
Oceania (UN),,2015,0.0
Oceania (UN),,2021,8.33
Small Island Developing States (SIDS),,2000,2.6
Small Island Developing States (SIDS),,2005,5.3
Small Island Developing States (SIDS),,2010,5.3
Small Island Developing States (SIDS),,2015,7.9
Small Island Developing States (SIDS),,2021,10.53
Sub-Saharan Africa (UN),,2000,18.75
Sub-Saharan Africa (UN),,2005,35.42
Sub-Saharan Africa (UN),,2010,27.08
Sub-Saharan Africa (UN),,2015,33.33
Sub-Saharan Africa (UN),,2021,47.92
World,OWID_WRL,2000,16.2
World,OWID_WRL,2005,27.9
World,OWID_WRL,2010,32.9
World,OWID_WRL,2015,35.5
World,OWID_WRL,2021,42.64
