Entity,Code,Year,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
Australia,AUS,1995,35.733883
Australia,AUS,2000,40.32017
Australia,AUS,2005,54.835953
Australia,AUS,2010,89.64537
Australia,AUS,2015,146.4876
Australia,AUS,2019,152.49294
Botswana,BWA,1985,33.57999
Botswana,BWA,1990,49.569374
Botswana,BWA,1995,45.979233
Botswana,BWA,2000,43.772026
Botswana,BWA,2005,51.905815
Botswana,BWA,2010,57.660553
Botswana,BWA,2015,72.010315
Botswana,BWA,2019,80.25599
Brazil,BRA,1990,22.021902
Brazil,BRA,1995,20.256838
Brazil,BRA,2000,21.144547
Brazil,BRA,2005,23.712717
Brazil,BRA,2010,22.778322
Brazil,BRA,2015,28.221334
Brazil,BRA,2019,25.836794
Canada,CAN,2000,27.782776
Canada,CAN,2005,31.862654
Canada,CAN,2010,37.621857
Canada,CAN,2015,43.56308
Canada,CAN,2019,46.786835
China,CHN,1980,0.95282775
China,CHN,1985,1.4575678
China,CHN,1990,2.054755
China,CHN,1995,3.438072
China,CHN,2000,5.0283318
China,CHN,2005,7.977868
China,CHN,2010,12.872721
China,CHN,2015,18.69137
China,CHN,2019,24.157393
United Kingdom,GBR,1980,100.66328
United Kingdom,GBR,1985,132.54355
United Kingdom,GBR,1990,150.61528
United Kingdom,GBR,1995,162.25453
United Kingdom,GBR,2000,184.86572
United Kingdom,GBR,2005,201.89009
United Kingdom,GBR,2010,321.9272
United Kingdom,GBR,2015,359.66397
United Kingdom,GBR,2019,377.02383
United States,USA,1980,13.680003
United States,USA,1985,16.95201
United States,USA,1990,21.094505
United States,USA,1995,23.726274
United States,USA,2000,29.048153
United States,USA,2005,32.595573
United States,USA,2010,39.12834
United States,USA,2015,40.968002
United States,USA,2019,44.84507
