Entity,Code,Year,"Meat, total | 00001765 || Production | 005510 || tonnes"
Africa,,1961,3681131.0
Africa,,1970,4764324.0
Africa,,1980,6240297.0
Africa,,1990,8371210.0
Africa,,2000,11159894.0
Africa,,2010,15912884.0
Africa,,2021,22083310.0
Asia,,1961,9034637.0
Asia,,1970,16952144.0
Asia,,1980,28597604.0
Asia,,1990,50839564.0
Asia,,2000,90756400.0
Asia,,2010,124026300.0
Asia,,2021,151918610.0
Europe,,1961,29454628.0
Europe,,1970,40084132.0
Europe,,1980,53437570.0
Europe,,1990,62623410.0
Europe,,2000,51390316.0
Europe,,2010,56649372.0
Europe,,2021,59939308.0
North America,,1961,19582328.0
North America,,1970,25562932.0
North America,,1980,30689004.0
North America,,1990,35733770.0
North America,,2000,47913544.0
North America,,2010,54765050.0
North America,,2021,65088036.0
Oceania,,1961,2296942.0
Oceania,,1970,3265060.0
Oceania,,1980,4027586.0
Oceania,,1990,4497838.0
Oceania,,2000,5401349.5
Oceania,,2010,5875220.0
Oceania,,2021,6467544.5
South America,,1961,6516068.0
South America,,1970,8840647.0
South America,,1980,12152578.0
South America,,1990,15673356.0
South America,,2000,25732454.0
South America,,2010,37521640.0
South America,,2021,46628336.0
