Entity,Code,Year,Low-carbon energy (TWh growth - equivalent)
Egypt,EGY,1966,0.27443027
Egypt,EGY,1970,2.064763
Egypt,EGY,1980,0.57499886
Egypt,EGY,1990,1.3779564
Egypt,EGY,2000,2.3839264
Egypt,EGY,2010,-1.4279823
Egypt,EGY,2022,-2.2633743
Italy,ITA,1966,6.347473
Italy,ITA,1970,3.244995
Italy,ITA,1980,-2.9005737
Italy,ITA,1990,-7.400612
Italy,ITA,2000,-1.2595673
Italy,ITA,2010,24.100098
Italy,ITA,2022,-36.51184
Oceania,,1966,1.299717
Oceania,,1970,7.2366257
Oceania,,1980,0.5806961
Oceania,,1990,4.269356
Oceania,,2000,5.321289
Oceania,,2010,9.988144
Oceania,,2022,40.599854
Slovenia,SVN,2000,0.58984756
Slovenia,SVN,2010,-0.6569824
Slovenia,SVN,2022,-4.586502
South Korea,KOR,1966,0.8128617
South Korea,KOR,1970,-0.6145451
South Korea,KOR,1980,-0.18831253
South Korea,KOR,1990,20.755936
South Korea,KOR,2000,16.30719
South Korea,KOR,2010,3.8525085
South Korea,KOR,2022,70.06262
Vietnam,VNM,1966,0.14784944
Vietnam,VNM,1970,0.17741942
Vietnam,VNM,1980,1.4430103
Vietnam,VNM,1990,4.52715
Vietnam,VNM,2000,2.297577
Vietnam,VNM,2010,-4.4709015
Vietnam,VNM,2022,68.15195
