Entity,Code,Year,Primary energy consumption per capita (kWh/person),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2021,676.6956,1516.3057,40099460.0,
Africa,,2021,4027.1172,,1393676724.0,
Algeria,DZA,2021,15914.461,11039.806,44177964.0,
Asia,,2021,18812.572,,4693332132.0,
Brazil,BRA,2021,16659.977,14592.353,214326224.0,
Burundi,BDI,2021,293.8886,705.0304,12551215.0,
Canada,CAN,2021,100738.89,47892.945,38155012.0,
Chile,CHL,2021,24462.756,25449.13,19493184.0,
Colombia,COL,2021,11147.847,14648.592,51516560.0,
Costa Rica,CRI,2021,11957.598,21199.281,5153959.0,
Democratic Republic of Congo,COD,2021,410.8872,1073.6433,95894120.0,
Ethiopia,ETH,2021,871.5845,2319.0684,120283024.0,
Europe,,2021,40415.152,,746417727.0,
European Union (27),,2021,37623.633,44138.035,445051201.0,
Ghana,GHA,2021,3483.3625,5435.238,32833036.0,
High-income countries,,2021,56267.426,50122.207,1219584303.0,
Iran,IRN,2021,38225.703,15004.6875,87923432.0,
Iraq,IRQ,2021,13267.278,8962.395,43533592.0,
Kenya,KEN,2021,1952.6938,4743.4863,53005616.0,
Laos,LAO,2021,18847.086,7846.975,7425055.0,
Liberia,LBR,2021,1064.6156,1423.2296,5193422.0,
Low-income countries,,2021,1225.7303,1956.767,698782037.0,
Lower-middle-income countries,,2021,6462.941,7241.6,3411037255.0,
Macao,MAC,2021,21399.566,64796.996,686616.0,
Malaysia,MYS,2021,37897.133,26333.156,33573872.0,
Mexico,MEX,2021,17515.205,19086.105,126705136.0,
Mongolia,MNG,2021,22407.674,11668.431,3347782.0,
Mozambique,MOZ,2021,2241.226,1226.767,32077074.0,
Nigeria,NGA,2021,2547.9543,4922.6323,213401328.0,
North America,,2021,54584.87,,597123384.0,
Norway,NOR,2021,105328.086,65662.17,5403021.0,
Oceania,,2021,41087.69,,44492065.0,
Oman,OMN,2021,87160.52,34294.766,4520474.0,
Pakistan,PAK,2021,4683.573,5232.1426,231402112.0,
Philippines,PHL,2021,4791.9375,8094.693,113880336.0,
Russia,RUS,2021,60271.016,27960.102,145102752.0,
Samoa,WSM,2021,7302.089,5534.127,218781.0,
Singapore,SGP,2021,153295.16,106032.23,5941063.0,
Somalia,SOM,2021,217.40976,1136.736,17065588.0,
South America,,2021,16192.434,,434254167.0,
Sri Lanka,LKA,2021,4884.5293,13386.682,21773438.0,
Sudan,SDN,2021,2317.3928,3701.069,45657204.0,
Tajikistan,TJK,2021,7674.914,3903.32,9750078.0,
Turkey,TUR,2021,22817.182,31466.56,84775408.0,
Turkmenistan,TKM,2021,70866.02,,6341850.0,
United Arab Emirates,ARE,2021,139828.77,69733.8,9365149.0,
United Kingdom,GBR,2021,29716.807,44978.715,67281040.0,
Vietnam,VNM,2021,12375.912,10628.219,97468024.0,
World,OWID_WRL,2021,20981.156,16997.135,7909295104.0,
Zambia,ZMB,2021,3418.863,3236.789,19473132.0,
Zimbabwe,ZWE,2021,2635.1536,2115.1445,15993525.0,
