Entity,Code,Year,"Deaths that are from all causes attributed to drug use, in both sexes aged all ages"
Russia,RUS,1990,10218.5
Russia,RUS,1995,19433.25
Russia,RUS,2000,23857.826
Russia,RUS,2005,30983.594
Russia,RUS,2010,29801.223
Russia,RUS,2015,30524.922
Russia,RUS,2019,26479.307
United States,USA,1990,24755.342
United States,USA,1995,33236.098
United States,USA,2000,38004.695
United States,USA,2005,52622.055
United States,USA,2010,62637.28
United States,USA,2015,85528.51
United States,USA,2019,104736.19
