Entity,Code,Year,Annual CO₂ emissions
Congo,COG,1980,405529.0
Congo,COG,1985,1275224.0
Congo,COG,1990,1007907.06
Congo,COG,1995,3224670.0
Congo,COG,2000,4284250.0
Congo,COG,2005,4352130.0
Congo,COG,2010,5499943.0
Congo,COG,2015,5633314.0
Congo,COG,2022,7431930.0
Mali,MLI,1980,391343.0
Mali,MLI,1985,405383.0
Mali,MLI,1990,422243.0
Mali,MLI,1995,595200.0
Mali,MLI,2000,1066224.0
Mali,MLI,2005,1454608.0
Mali,MLI,2010,2088480.0
Mali,MLI,2015,3281577.0
Mali,MLI,2022,7038757.0
Netherlands,NLD,1980,176631780.0
Netherlands,NLD,1985,146980000.0
Netherlands,NLD,1990,162665120.0
Netherlands,NLD,1995,173201140.0
Netherlands,NLD,2000,172016290.0
Netherlands,NLD,2005,177859120.0
Netherlands,NLD,2010,182358960.0
Netherlands,NLD,2015,163802240.0
Netherlands,NLD,2022,125358230.0
Poland,POL,1980,463329060.0
Poland,POL,1985,444507870.0
Poland,POL,1990,376641280.0
Poland,POL,1995,362614560.0
Poland,POL,2000,317452220.0
Poland,POL,2005,322765060.0
Poland,POL,2010,334224580.0
Poland,POL,2015,312715420.0
Poland,POL,2022,323117300.0
