Entity,Code,Year,Total greenhouse gas emissions per capita excluding land-use change and forestry
Albania,ALB,1990,3.3929446
Albania,ALB,1995,2.2530956
Albania,ALB,2000,2.564403
Albania,ALB,2005,2.9743102
Albania,ALB,2010,3.17155
Albania,ALB,2015,3.2645478
Albania,ALB,2020,2.8951638
Austria,AUT,1990,9.979512
Austria,AUT,1995,9.760556
Austria,AUT,2000,9.823449
Austria,AUT,2005,10.983302
Austria,AUT,2010,9.990639
Austria,AUT,2015,8.843586
Austria,AUT,2020,7.972806
Bangladesh,BGD,1990,0.85713494
Bangladesh,BGD,1995,0.87543154
Bangladesh,BGD,2000,0.86374426
Bangladesh,BGD,2005,0.92007387
Bangladesh,BGD,2010,1.0683253
Bangladesh,BGD,2015,1.1896977
Bangladesh,BGD,2020,1.233836
Jordan,JOR,1990,5.346793
Jordan,JOR,1995,5.215108
Jordan,JOR,2000,4.121695
Jordan,JOR,2005,4.458892
Jordan,JOR,2010,3.9473326
Jordan,JOR,2015,3.671696
Jordan,JOR,2020,3.0332913
Mongolia,MNG,1990,14.194241
Mongolia,MNG,1995,12.277184
Mongolia,MNG,2000,12.456202
Mongolia,MNG,2005,11.147762
Mongolia,MNG,2010,12.110888
Mongolia,MNG,2015,15.593189
Mongolia,MNG,2020,16.367466
Qatar,QAT,1990,36.768284
Qatar,QAT,1995,48.957565
Qatar,QAT,2000,62.55931
Qatar,QAT,2005,63.106945
Qatar,QAT,2010,50.597836
Qatar,QAT,2015,48.28583
Qatar,QAT,2020,43.330833
Syria,SYR,1990,5.7337403
Syria,SYR,1995,6.7398143
Syria,SYR,2000,6.1461916
Syria,SYR,2005,5.599036
Syria,SYR,2010,4.673743
Syria,SYR,2015,2.3170834
Syria,SYR,2020,2.2678912
