Entity,Code,Year,Annual CO₂ emissions embedded in trade
China,CHN,1990,-164509180.0
China,CHN,1995,-367683600.0
China,CHN,2000,-386674430.0
China,CHN,2005,-1164359700.0
China,CHN,2010,-1283826700.0
China,CHN,2015,-998845440.0
China,CHN,2021,-1016143900.0
European Union (27),,1990,531518200.0
European Union (27),,1995,605473000.0
European Union (27),,2000,612501760.0
European Union (27),,2005,775602400.0
European Union (27),,2010,868344600.0
European Union (27),,2015,506242300.0
European Union (27),,2021,692359700.0
India,IND,1990,-2561984.0
India,IND,1995,-41272704.0
India,IND,2000,-69354560.0
India,IND,2005,-89288580.0
India,IND,2010,-99671300.0
India,IND,2015,-139018240.0
India,IND,2021,-226497280.0
United Kingdom,GBR,1990,67661060.0
United Kingdom,GBR,1995,78173570.0
United Kingdom,GBR,2000,175074430.0
United Kingdom,GBR,2005,179796100.0
United Kingdom,GBR,2010,164881020.0
United Kingdom,GBR,2015,166179710.0
United Kingdom,GBR,2021,165935000.0
United States,USA,1990,-72927230.0
United States,USA,1995,-52809730.0
United States,USA,2000,243804160.0
United States,USA,2005,591880700.0
United States,USA,2010,286098430.0
United States,USA,2015,413808130.0
United States,USA,2021,539960300.0
