Entity,Code,Year,Total days of leave available for the mother
Chile,CHL,1970,84
Chile,CHL,1980,126
Chile,CHL,1990,126
Chile,CHL,2000,126
Chile,CHL,2010,126
Chile,CHL,2022,210
Czechia,CZE,1970,154
Czechia,CZE,1980,154
Czechia,CZE,1990,196
Czechia,CZE,2000,1656
Czechia,CZE,2010,916
Czechia,CZE,2022,916
France,FRA,1970,98
France,FRA,1980,112
France,FRA,1990,112
France,FRA,2000,112
France,FRA,2010,112
France,FRA,2022,292
Russia,RUS,1970,112
Russia,RUS,1980,112
Russia,RUS,1990,112
Russia,RUS,2000,615
Russia,RUS,2010,615
Russia,RUS,2022,615
Spain,ESP,1970,84
Spain,ESP,1980,98
Spain,ESP,1990,112
Spain,ESP,2000,112
Spain,ESP,2010,112
Spain,ESP,2022,112
Sudan,SDN,1970,0
Sudan,SDN,1980,0
Sudan,SDN,1990,0
Sudan,SDN,2000,56
Sudan,SDN,2010,56
Sudan,SDN,2022,56
Sweden,SWE,1970,180
Sweden,SWE,1980,360
Sweden,SWE,1990,390
Sweden,SWE,2000,420
Sweden,SWE,2010,420
Sweden,SWE,2022,390
United States,USA,1970,0
United States,USA,1980,0
United States,USA,1990,0
United States,USA,2000,0
United States,USA,2010,0
United States,USA,2022,84
