Entity,Code,Year,Solar and wind - % electricity
American Samoa,ASM,2000,0.0
American Samoa,ASM,2005,0.0
American Samoa,ASM,2010,0.0
American Samoa,ASM,2015,0.0
American Samoa,ASM,2020,0.0
Asia,,1985,0.0
Asia,,1990,0.0013148568
Asia,,1995,0.030569786
Asia,,2000,0.057886817
Asia,,2005,0.1801241
Asia,,2010,0.90836596
Asia,,2015,2.8396592
Asia,,2020,7.257295
Asia,,2022,10.195321
Botswana,BWA,2000,0.0
Botswana,BWA,2005,0.0
Botswana,BWA,2010,0.0
Botswana,BWA,2015,0.0
Botswana,BWA,2020,0.48543692
CIS (EI),,1990,0.0
CIS (EI),,1995,0.0
CIS (EI),,2000,0.00017728857
CIS (EI),,2005,0.0006606904
CIS (EI),,2010,0.00078086136
CIS (EI),,2015,0.055194743
CIS (EI),,2020,0.42139795
CIS (EI),,2022,0.79918957
Georgia,GEO,2000,0.0
Georgia,GEO,2005,0.0
Georgia,GEO,2010,0.0
Georgia,GEO,2015,0.0
Georgia,GEO,2020,0.8064516
Georgia,GEO,2022,0.56179774
Liberia,LBR,2000,0.0
Liberia,LBR,2005,0.0
Liberia,LBR,2010,0.0
Liberia,LBR,2015,0.0
Liberia,LBR,2020,0.0
Libya,LBY,2000,0.0
Libya,LBY,2005,0.0
Libya,LBY,2010,0.03266906
Libya,LBY,2015,0.028352708
Libya,LBY,2020,0.03322259
Malta,MLT,1990,0.0
Malta,MLT,1995,0.0
Malta,MLT,2000,0.0
Malta,MLT,2005,0.0
Malta,MLT,2010,0.0
Malta,MLT,2015,6.923077
Malta,MLT,2020,11.16279
Malta,MLT,2022,14.163091
Mozambique,MOZ,2000,0.0
Mozambique,MOZ,2005,0.0
Mozambique,MOZ,2010,0.0
Mozambique,MOZ,2015,0.0
Mozambique,MOZ,2020,0.15511893
Paraguay,PRY,2000,0.0
Paraguay,PRY,2005,0.0
Paraguay,PRY,2010,0.0
Paraguay,PRY,2015,0.0
Paraguay,PRY,2020,0.0
Tonga,TON,2000,0.0
Tonga,TON,2005,0.0
Tonga,TON,2010,0.0
Tonga,TON,2015,0.0
Tonga,TON,2020,14.285714
