Entity,Code,Year,Deaths - Meningitis - Sex: Both - Age: Age-standardized (Rate)
Ethiopia,ETH,1990,50.24
Ethiopia,ETH,1995,44.54
Ethiopia,ETH,2000,37.49
Ethiopia,ETH,2005,31.04
Ethiopia,ETH,2010,22.33
Ethiopia,ETH,2015,16.29
Ethiopia,ETH,2019,14.14
Niger,NER,1990,72.67
Niger,NER,1995,82.46
Niger,NER,2000,64.47
Niger,NER,2005,51.18
Niger,NER,2010,35.26
Niger,NER,2015,29.62
Niger,NER,2019,24.53
Zambia,ZMB,1990,48.76
Zambia,ZMB,1995,41.76
Zambia,ZMB,2000,38.52
Zambia,ZMB,2005,31.39
Zambia,ZMB,2010,26.07
Zambia,ZMB,2015,18.15
Zambia,ZMB,2019,15.57
