Entity,Code,Year,Coal production (TWh)
China,CHN,1900,0.0
China,CHN,1920,82.13889
China,CHN,1940,257.6991
China,CHN,1960,2441.323
China,CHN,1980,4051.2837
China,CHN,2000,8226.111
China,CHN,2022,25617.02
Germany,DEU,1900,647.41095
Germany,DEU,1920,934.56964
Germany,DEU,1940,1423.261
Germany,DEU,1960,1907.4668
Germany,DEU,1980,1604.1073
Germany,DEU,2000,706.0867
Germany,DEU,2022,336.05832
India,IND,1900,39.547382
India,IND,1920,116.10999
India,IND,1940,189.97504
India,IND,1960,334.60675
India,IND,1980,540.40857
India,IND,2000,1771.1918
India,IND,2022,4172.377
Japan,JPN,1900,57.46229
Japan,JPN,1920,224.87195
Japan,JPN,1940,432.81473
Japan,JPN,1960,395.6169
Japan,JPN,1980,123.09791
Japan,JPN,2000,18.878023
Japan,JPN,2022,4.6985197
United Kingdom,GBR,1900,1566.4567
United Kingdom,GBR,1920,1596.657
United Kingdom,GBR,1940,1560.3221
United Kingdom,GBR,1960,1346.7979
United Kingdom,GBR,1980,971.12854
United Kingdom,GBR,2000,227.38368
United Kingdom,GBR,2022,5.0240626
United States,USA,1900,1829.3949
United States,USA,1920,4465.3286
United States,USA,1940,3477.5466
United States,USA,1960,2967.3762
United States,USA,1980,5455.289
United States,USA,2000,6329.958
United States,USA,2022,3353.0413
