Entity,Code,Year,Yearly burned area across shrublands and grasslands,Yearly burned area across savannas,Yearly burned area across forests,Yearly burned area across croplands
World,OWID_WRL,2002,242925870.0,158605730.0,24417036.0,35789416.0
World,OWID_WRL,2004,223480290.0,162904820.0,35284390.0,36734068.0
World,OWID_WRL,2006,210652450.0,150567600.0,31339608.0,36541216.0
World,OWID_WRL,2008,186922370.0,164778300.0,31188468.0,38875500.0
World,OWID_WRL,2010,183886160.0,160999600.0,38961384.0,31065146.0
World,OWID_WRL,2012,233160080.0,156498720.0,32420588.0,29195490.0
World,OWID_WRL,2014,172331550.0,146904640.0,29494316.0,30557672.0
World,OWID_WRL,2016,150360720.0,151343780.0,33213514.0,28726954.0
World,OWID_WRL,2018,161991020.0,139537970.0,27801884.0,22586450.0
World,OWID_WRL,2020,139635540.0,147312200.0,33229506.0,27007452.0
World,OWID_WRL,2022,141455680.0,133850696.0,29307928.0,24071072.0
