Entity,Code,Year,Deaths - All causes - Sex: Both - Age: All Ages (Rate)
Australia,AUS,1990,0.6979
Australia,AUS,1995,0.69233
Australia,AUS,2000,0.67564
Australia,AUS,2005,0.65175
Australia,AUS,2010,0.65018
Australia,AUS,2015,0.66301
Australia,AUS,2019,0.6954199999999999
Lebanon,LBN,1990,0.68684
Lebanon,LBN,1995,0.58914
Lebanon,LBN,2000,0.584
Lebanon,LBN,2005,0.6366499999999999
Lebanon,LBN,2010,0.69765
Lebanon,LBN,2015,0.65375
Lebanon,LBN,2019,0.654
Lesotho,LSO,1990,0.98426
Lesotho,LSO,1995,1.12184
Lesotho,LSO,2000,1.6543
Lesotho,LSO,2005,2.09511
Lesotho,LSO,2010,1.7604000000000002
Lesotho,LSO,2015,1.77415
Lesotho,LSO,2019,1.5545
