Entity,Code,Year,Vegetables | 00002918 || Food available for consumption | 0645pc || kilograms per year per capita
Indonesia,IDN,1961,16.58786
Indonesia,IDN,1970,17.5315
Indonesia,IDN,1980,15.877203
Indonesia,IDN,1990,22.995974
Indonesia,IDN,2000,30.93008
Indonesia,IDN,2010,39.404434
Indonesia,IDN,2020,47.690414
Kazakhstan,KAZ,2000,82.70373
Kazakhstan,KAZ,2010,144.63521
Kazakhstan,KAZ,2020,251.27953
Samoa,WSM,1961,3.2879152
Samoa,WSM,1970,3.6755261
Samoa,WSM,1980,5.741658
Samoa,WSM,1990,7.9560885
Samoa,WSM,2000,10.508255
Samoa,WSM,2010,14.703369
Samoa,WSM,2020,22.87493
