Entity,Code,Year,Difference in the value of goods exported to and imported by the US (DOTS (2017))
Angola,AGO,2016,1528326200.0
Austria,AUT,2016,1355224600.0
Belgium,BEL,2016,-6032867200.0
Bolivia,BOL,2016,9967590.0
Cambodia,KHM,2016,665257080.0
Cape Verde,CPV,2016,3361950.0
Colombia,COL,2016,3436003900.0
Costa Rica,CRI,2016,268344730.00000003
Democratic Republic of Congo,COD,2016,9845980.0
Egypt,EGY,2016,101573850.0
Fiji,FJI,2016,35923540.0
Finland,FIN,2016,182675290.0
Guinea,GIN,2016,32910.0
Haiti,HTI,2016,50870000.0
Ireland,IRL,2016,10351930000.0
Jamaica,JAM,2016,-189897310.0
Macao,MAC,2016,99826600.0
Mauritius,MUS,2016,85626770.0
Mozambique,MOZ,2016,13043670.0
Netherlands,NLD,2016,-4231183600.000001
Nicaragua,NIC,2016,2321345700.0
North Macedonia,MKD,2016,179913700.0
Pakistan,PAK,2016,16353269.999999998
Philippines,PHL,2016,1376329100.0
Saint Kitts and Nevis,KNA,2016,24741100.0
Sri Lanka,LKA,2016,20933110.0
Syria,SYR,2016,777270.0
Tuvalu,TUV,2016,0.0
Uganda,UGA,2016,22767070.0
Uzbekistan,UZB,2016,1740110.0
Venezuela,VEN,2016,1391959000.0
