Entity,Code,Year,How much we actually spend on health expenditure (IPSOS (2016)),How much we think we spend on health expenditure (IPSOS (2016)),Population (historical estimates),Continent
Africa,,2016,,,1232111820.0,
Asia,,2016,,,4502955714.0,
Brazil,BRA,2016,8.0,25.0,206859584.0,
Canada,CAN,2016,10.0,28.0,36113532.0,
China,CHN,2016,6.0,21.0,1401889664.0,
Europe,,2016,,,744516175.0,
France,FRA,2016,12.0,22.0,63989320.0,
Germany,DEU,2016,11.0,20.0,82331432.0,
India,IND,2016,5.0,27.0,1338636288.0,
Indonesia,IDN,2016,3.0,39.0,261850176.0,
Italy,ITA,2016,9.0,18.0,60118628.0,
Japan,JPN,2016,10.0,22.0,126993856.0,
Mexico,MEX,2016,6.0,19.0,121519224.0,
North America,,2016,,,576008328.0,
Oceania,,2016,,,41101240.0,
Philippines,PHL,2016,5.0,24.0,104875272.0,
Russia,RUS,2016,7.0,11.0,145109152.0,
South America,,2016,,,417101806.0,
Thailand,THA,2016,7.0,30.0,70607032.0,
United States,USA,2016,18.0,31.0,327210208.0,
Vietnam,VNM,2016,7.0,16.0,93126528.0,
