Entity,Code,Year,Very important in life: Leisure time,Rather important in life: Leisure time,Not very important in life: Leisure time,Not at all important in life: Leisure time,Don't know: Important in life: Leisure time,No answer: Important in life: Leisure time
Bolivia,BOL,2022,44.89598,33.81713,17.7552,3.047895,0.3870344,0.0967586
Brazil,BRA,2022,35.50381,49.75933,10.76356,3.432365,0.4350035,0.1059392
China,CHN,2022,20.62759,49.98117,27.54402,1.572922,0.0,0.2742973
Egypt,EGY,2022,18.25,36.41667,31.5,12.91667,0.9166666,0.0
France,FRA,2022,34.19408,52.30167,11.75412,1.649791,0.1003344,0.0
Germany,DEU,2022,38.27301,53.24493,6.895947,0.5408331,0.2739651,0.771321
Japan,JPN,2022,44.49372,45.8241,7.760532,0.5173689,0.2217295,1.182557
Mexico,MEX,2022,60.25099,24.89746,11.8774,2.925799,0.0483472,0.0
Morocco,MAR,2022,36.66667,42.25,16.25,4.833333,0.0,0.0
Russia,RUS,2022,36.0097,44.55864,14.83668,3.503991,1.066553,0.024435
Ukraine,UKR,2022,38.66347,41.67734,13.60589,3.735087,1.746413,0.5718036
United Kingdom,GBR,2022,48.4613,43.9712,6.365985,1.078669,0.1228467,0.0
United States,USA,2022,39.49935,49.05014,10.18402,0.6857542,0.0,0.5807375
