Entity,Code,Year,Old-age dependency ratio - Sex: all - Age: none - Variant: estimates
Albania,ALB,1950,11.01
Albania,ALB,1960,10.27
Albania,ALB,1970,9.04
Albania,ALB,1980,8.25
Albania,ALB,1990,9.3
Albania,ALB,2000,12.49
Albania,ALB,2010,17.23
Albania,ALB,2021,24.06
Austria,AUT,1950,15.59
Austria,AUT,1960,18.57
Austria,AUT,1970,22.83
Austria,AUT,1980,23.96
Austria,AUT,1990,22.13
Austria,AUT,2000,22.82
Austria,AUT,2010,26.11
Austria,AUT,2021,29.38
Portugal,PRT,1950,11.05
Portugal,PRT,1960,12.71
Portugal,PRT,1970,15.69
Portugal,PRT,1980,18.27
Portugal,PRT,1990,20.73
Portugal,PRT,2000,24.16
Portugal,PRT,2010,28.07
Portugal,PRT,2021,35.2
