Entity,Code,Year,Population (future projections),Population (historical estimates)
Brazil,BRA,2050,230885728.0,
Brazil,BRA,2100,184547600.0,
Brazil,BRA,1800,,2500000.0
Brazil,BRA,1850,,7233093.0
Brazil,BRA,1900,,18058538.0
Brazil,BRA,1950,,53955360.0
Brazil,BRA,2000,,175873712.0
China,CHN,2050,1312636288.0,
China,CHN,2100,766673280.0,
China,CHN,1800,,330000000.0
China,CHN,1850,,409821554.0
China,CHN,1900,,395929430.0
China,CHN,1950,,543979200.0
China,CHN,2000,,1264099072.0
India,IND,2050,1670490624.0,
India,IND,2100,1529850112.0,
India,IND,1800,,200733034.0
India,IND,1850,,235732435.0
India,IND,1900,,280714154.0
India,IND,1950,,357021120.0
India,IND,2000,,1059633664.0
Indonesia,IDN,2050,317225216.0,
Indonesia,IDN,2100,296623488.0,
Indonesia,IDN,1800,,16108545.0
Indonesia,IDN,1850,,21979198.0
Indonesia,IDN,1900,,38179623.0
Indonesia,IDN,1950,,69567624.0
Indonesia,IDN,2000,,214072416.0
Japan,JPN,2050,103784360.0,
Japan,JPN,2100,73644056.0,
Japan,JPN,1800,,28000000.0
Japan,JPN,1850,,32050374.0
Japan,JPN,1900,,44416502.0
Japan,JPN,1950,,84353056.0
Japan,JPN,2000,,126803864.0
Nigeria,NGA,2050,377459872.0,
Nigeria,NGA,2100,546091648.0,
Nigeria,NGA,1800,,12100860.0
Nigeria,NGA,1850,,13540231.0
Nigeria,NGA,1900,,18664170.0
Nigeria,NGA,1950,,37189376.0
Nigeria,NGA,2000,,122851984.0
United States,USA,2050,375391968.0,
United States,USA,2100,394041152.0,
United States,USA,1800,,6000000.0
United States,USA,1850,,23599506.0
United States,USA,1900,,74829905.0
United States,USA,1950,,148281552.0
United States,USA,2000,,282398560.0
